x,y,z,t
-3545966.303433,3528626.315483,5002492.414968,-3.760000
-3856919.330406,3202971.799628,4992076.142148,56.223000
-4152264.707647,2864364.614358,4961423.419793,116.222000
-4430810.745582,2514175.298790,4910661.365251,176.208000
-4691433.679123,2153820.597811,4839998.166656,236.207000
-4933082.096406,1784757.794414,4749722.196181,296.200000
-5154781.086092,1408478.900087,4640200.822600,356.191000
-5355636.093894,1026504.719639,4511878.928732,416.190000
-5534836.477762,640378.806075,4365277.137681,476.182000
-5691658.749438,251661.321807,4200989.750859,536.181000
-5825469.488684,-138077.175713,4019682.400719,596.172000
-5935727.915821,-527262.003454,3822089.422079,656.166000
-6021988.108546,-914320.654608,3609010.947622,716.165000
-6083900.850183,-1297689.108132,3381309.735258,776.154000
-6121215.098290,-1675818.120406,3139907.737160,836.153000
-6133779.064549,-2047179.473001,2885782.422206,896.148000
-6121540.898760,-2410272.150770,2619962.865116,956.141000
-6084548.971477,-2763628.424802,2343525.616784,1016.140000
-6022951.751218,-3105819.815224,2057590.371245,1076.133000
-5936997.273501,-3435462.908846,1763315.445669,1136.132000
-5827032.200293,-3751225.006641,1461893.090622,1196.125000
-5693500.470145,-4051829.575643,1154544.649111,1256.116000
-5536941.541229,-4336061.479761,842515.584065,1316.115000
-5357988.232148,-4602771.964056,527070.395495,1376.106000
-5157364.168075,-4850883.367849,209487.449762,1436.105000
-4935880.842815,-5079393.543491,-108946.255500,1496.098000
-4694434.310139,-5287379.959672,-426940.366586,1556.085000
-4434001.519883,-5474003.470852,-743206.464881,1616.083000
-4155636.315906,-5638511.736870,-1056463.350098,1676.078000
-3860465.113855,-5780242.279101,-1365442.292401,1736.077000
-3549682.277191,-5898625.161130,-1668892.230814,1796.072000
-3224545.210438,-5993185.282915,-1965584.895685,1856.068000
-2886369.189638,-6063544.278046,-2254319.832896,1916.066000
-2536521.951748,-6109422.004470,-2533929.307236,1976.059000
-2176418.067210,-6130637.620468,-2803283.062056,2036.058000
-1807513.122697,-6127110.240182,-3061292.912583,2096.052000
-1431297.743579,-6098859.166483,-3306917.151306,2156.046000
-1049291.487057,-6046003.703186,-3539164.745952,2216.045000
-663036.636851,-5968762.552758,-3757099.313391,2276.040000
-274091.928641,-5867452.808901,-3959842.855974,2336.039000
115973.767292,-5742488.555181,-4146579.249531,2396.034000
505587.782862,-5594379.081046,-4316557.474000,2456.028000
893179.987284,-5423726.725540,-4469094.578097,2515.974000
1277189.058789,-5231224.346266,-4603578.363892,2575.969000
1656060.288071,-5017650.120185,-4719468.781262,2635.969000
2028261.976017,-4783867.088023,-4816301.215816,2695.966000
2392296.767023,-4530821.003379,-4893688.871536,2755.963000
2746700.731297,-4259534.565301,-4951323.414309,2815.962000
3090049.180592,-3971103.245486,-4988976.116295,2875.959000
3420962.309829,-3666690.842878,-5006498.680419,2935.958000
3738110.644160,-3347524.788137,-5003823.747811,2995.953000
4040220.275208,-3014891.219451,-4980965.093195,3055.949000
4326077.873794,-2670129.848506,-4938017.513596,3115.947000
4594535.467850,-2314628.632421,-4875156.414312,3175.943000
4844514.973741,-1949818.265352,-4792637.093733,3235.942000
5075012.466924,-1577166.503197,-4690793.726373,3295.938000
5285102.175141,-1198172.336705,-4570038.042428,3355.934000
5473940.175176,-814360.031820,-4430857.702971,3415.933000
5640767.773986,-427273.060075,-4273814.372414,3475.925000
5784914.556755,-38467.944948,-4099541.493509,3535.923000
5905801.087901,350491.948561,-3908741.773758,3595.921000
6002941.254964,738042.654742,-3702184.394701,3655.919000
6075944.248499,1122625.854300,-3480701.956492,3715.918000
6124516.172500,1502695.106449,-3245187.169646,3775.916000
