name,lat1,long1,alt1,lat2,long2,alt2,lat3,long3,alt3,lat4,long4,alt4
Sahara_Algeria,30.00,0.00,200,25.00,0.00,200,25.00,5.00,200,30.00,5.00,200
Amazon_Brazil,-1.00,-62.00,100,-6.00,-62.00,100,-6.00,-57.00,100,-1.00,-57.00,100
Gulf_of_Guinea,6.00,0.00,10,1.00,0.00,10,1.00,5.00,10,6.00,5.00,10
Arabian_Peninsula,25.00,44.00,600,20.00,44.00,600,20.00,49.00,600,25.00,49.00,600
Bay_of_Bengal,17.00,86.00,0,12.00,86.00,0,12.00,91.00,0,17.00,91.00,0
South_China_Sea,14.00,112.00,0,9.00,112.00,0,9.00,117.00,0,14.00,117.00,0
Congo_Basin,1.00,22.00,300,-4.00,22.00,300,-4.00,27.00,300,1.00,27.00,300
Mexico_Gulf,23.00,-92.00,0,18.00,-92.00,0,18.00,-87.00,0,23.00,-87.00,0
Indonesia,2.00,108.00,50,-3.00,108.00,50,-3.00,113.00,50,2.00,113.00,50
East_Africa,-8.00,33.00,800,-13.00,33.00,800,-13.00,38.00,800,-8.00,38.00,800
Equator_Pacific,2.50,-172.00,0,-2.50,-172.00,0,-2.50,-167.00,0,2.50,-167.00,0
