OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-35318,2025-240A,2025-11-23T21:39:41.982336,15.39631104,.00014896,53.1594,195.4806,60.4933,299.6220,0,U,66146,999,582,.67711976E-3,.2679E-3,0
STARLINK-33948,2025-240B,2025-11-24T12:00:02.000160,15.39567767,.0000979,53.1580,192.3520,100.4846,131.1808,0,U,66147,999,601,.19451E-2,.7807E-3,0
STARLINK-35081,2025-240C,2025-11-24T12:00:02.000160,15.39539318,.0001006,53.1599,192.0482,119.6284,264.7021,0,U,66148,999,597,.25287E-2,.101838E-2,0
STARLINK-35601,2025-240D,2025-11-24T00:25:38.200800,15.39631604,.0001278,53.1586,194.7791,65.8726,294.2413,0,U,66149,999,579,.97988804E-3,.39011E-3,0
STARLINK-35605,2025-240E,2025-11-24T12:00:02.000160,15.39562101,.0000727,53.1584,192.2491,122.7587,160.4076,0,U,66150,999,597,.20097E-2,.80689E-3,0
STARLINK-35540,2025-240F,2025-11-22T22:43:17.789952,15.49348538,.00011943,53.1584,199.4676,89.4932,270.6214,0,U,66151,999,563,.13394035E-2,.74865E-3,0
STARLINK-35455,2025-240G,2025-11-23T23:06:29.977344,15.39650170,.00013172,53.1596,195.1459,68.9035,291.2110,0,U,66152,999,578,.11829356E-2,.47258E-3,0
STARLINK-34752,2025-240H,2025-11-24T12:00:02.000160,15.39566408,.0001056,53.1579,192.4536,106.4626,73.6951,0,U,66153,999,597,.18471E-2,.74073E-3,0
STARLINK-34625,2025-240J,2025-11-24T12:00:02.000160,15.39566044,.0000844,53.1581,192.2998,95.3691,162.0539,0,U,66154,999,601,.19575E-2,.78571E-3,0
STARLINK-35580,2025-240K,2025-11-24T12:00:02.000160,15.39562983,.0000821,53.1591,192.1962,108.0801,200.8351,0,U,66155,999,597,.20479E-2,.82247E-3,0
STARLINK-35621,2025-240L,2025-11-24T01:45:44.429760,15.39632066,.0001127,53.1590,194.4128,75.4626,284.6504,0,U,66156,999,580,.12440279E-2,.49705E-3,0
STARLINK-35594,2025-240M,2025-11-22T00:59:50.261280,15.49304106,.00012325,53.1586,203.7700,64.1516,295.9620,0,U,66157,999,549,.10864328E-2,.60433E-3,0
STARLINK-35587,2025-240N,2025-11-24T05:12:45.582336,15.39630639,.0001849,53.1589,193.8826,53.8818,306.2358,0,U,66158,999,582,.13747179E-2,.55006E-3,0
STARLINK-35586,2025-240P,2025-11-24T12:00:02.000160,15.45469024,.0000834,53.1595,192.0181,114.0486,284.0964,0,U,66159,999,597,-.4537E-1,-.1973241E-1,0
STARLINK-35636,2025-240Q,2025-11-23T21:25:51.372480,15.39640895,.0002342,53.1590,195.4189,24.3026,335.8089,0,U,66160,999,577,.25742503E-2,.104059E-2,0
STARLINK-35635,2025-240R,2025-11-23T21:32:32.373888,15.39656915,.00007531,53.1595,195.4468,110.6266,249.4820,0,U,66161,999,577,.1069049E-2,.42653E-3,0
STARLINK-35633,2025-240S,2025-11-24T03:18:30.506112,15.49317925,.00012415,53.1582,193.3827,97.8853,262.2297,0,U,66162,999,582,.13834357E-2,.77282E-3,0
STARLINK-35607,2025-240T,2025-11-24T04:50:54.257568,15.49345194,.00011221,53.1586,193.0707,82.8134,277.3003,0,U,66163,999,583,.15828795E-2,.88704E-3,0
STARLINK-35614,2025-240U,2025-11-24T00:11:25.367136,15.49435713,.00024423,53.1599,194.0051,109.0338,251.0936,0,U,66164,999,580,.1966192E-2,.110969E-2,0
STARLINK-35575,2025-240V,2025-11-24T12:00:02.000160,15.41079743,.000152,53.1591,191.6955,89.5942,108.5043,0,U,66165,999,597,-.54721E-1,-.2041519E-1,0
STARLINK-35624,2025-240W,2025-11-24T00:10:15.366720,15.49337397,.00022514,53.1603,193.9810,42.9917,317.1267,0,U,66166,999,580,.19163323E-2,.107722E-2,0
STARLINK-35641,2025-240X,2025-11-24T00:10:43.789728,15.49090587,.00005124,53.1589,193.9862,313.7112,46.3854,0,U,66167,999,580,.13892861E-1,.827989E-2,0
STARLINK-35578,2025-240Y,2025-11-23T22:35:52.708128,15.49325644,.00014302,53.1584,194.2908,64.4892,295.6264,0,U,66168,999,579,.16282744E-2,.91228E-3,0
STARLINK-35638,2025-240Z,2025-11-24T12:00:02.000160,15.43261955,.0001562,53.1586,191.6537,96.8031,121.3920,0,U,66169,999,597,-.50834E-1,-.2041648E-1,0
STARLINK-35585,2025-240AA,2025-11-24T12:00:02.000160,15.37153887,.0001398,53.1593,191.7309,78.3807,101.4886,0,U,66170,999,597,-.60256E-1,-.1981356E-1,0
STARLINK-35606,2025-240AB,2025-11-24T01:40:40.172160,15.49332241,.00011987,53.1586,193.6673,81.0710,279.0435,0,U,66171,999,581,.12022235E-2,.67045E-3,0
STARLINK-35627,2025-240AC,2025-11-23T05:34:33.807072,15.49338004,.0000878,53.1588,197.6857,113.7702,246.3399,0,U,66172,999,568,.11080661E-2,.61729E-3,0
STARLINK-35634,2025-240AD,2025-11-24T04:45:57.499488,15.49337496,.00012553,53.1588,193.0458,88.6370,271.4783,0,U,66173,999,583,.11439555E-2,.63759E-3,0
HTV-X1,2025-241A,2025-11-24T03:47:00.254976,15.49035693,.0003916,51.6317,234.4566,162.1487,197.9639,0,U,66174,999,145,.26124382E-3,.13988E-3,0
GAOFEN-14 02,2025-242A,2025-11-14T11:10:24.597408,15.27766001,.00110173,97.4386,30.6022,193.9078,166.1859,0,U,66175,999,295,.52317515E-3,.14152E-3,0
CZ-3B R/B,2025-242B,2025-11-05T15:49:27.402816,15.41457457,.01037786,97.4571,21.8726,5.1082,355.1197,0,U,66176,999,162,.58814912E-3,.29904E-3,0
STARLINK-35352,2025-243A,2025-11-24T12:00:02.000160,15.43452059,.0001311,53.1593,14.0243,59.8608,34.0690,0,U,66177,999,565,-.49604E-1,-.200902E-1,0
STARLINK-35363,2025-243B,2025-11-24T12:00:02.000160,15.41433705,.0001289,53.1593,14.0535,61.1947,17.8615,0,U,66178,999,571,-.53261E-1,-.2014049E-1,0
STARLINK-35346,2025-243C,2025-11-24T12:00:02.000160,15.40364284,.0001077,53.1591,14.0726,63.1659,6.7647,0,U,66179,999,565,-.55715E-1,-.2030539E-1,0
STARLINK-35335,2025-243D,2025-11-24T12:00:02.000160,15.39391149,.000112,53.1597,14.0922,64.2583,356.3711,0,U,66180,999,565,-.58167E-1,-.2049951E-1,0
STARLINK-35342,2025-243E,2025-11-24T12:00:02.000160,15.38771708,.0001158,53.1593,14.1056,65.8969,347.7711,0,U,66181,999,565,-.59339E-1,-.2048982E-1,0
STARLINK-35333,2025-243F,2025-11-24T12:00:02.000160,15.35846677,.0000942,53.1597,14.1657,87.7614,296.3342,0,U,66182,999,560,-.62626E-1,-.1974211E-1,0
STARLINK-35310,2025-243G,2025-11-24T12:00:02.000160,15.37067217,.0000937,53.1598,14.1458,91.5703,303.0498,0,U,66183,999,571,-.60376E-1,-.1979662E-1,0
STARLINK-35317,2025-243H,2025-11-24T12:00:02.000160,15.42933387,.0000897,53.1592,14.0995,74.9722,343.7662,0,U,66184,999,565,-.51703E-1,-.2051793E-1,0
STARLINK-35377,2025-243J,2025-11-24T12:00:02.000160,15.39381067,.0001013,53.1591,14.1529,68.7815,323.0739,0,U,66185,999,571,-.57828E-1,-.2038666E-1,0
STARLINK-35365,2025-243K,2025-11-24T12:00:02.000160,15.41162926,.000087,53.1591,14.1355,72.4187,328.4155,0,U,66186,999,565,-.54693E-1,-.2045307E-1,0
STARLINK-35350,2025-243L,2025-11-24T12:00:02.000160,15.38261729,.000092,53.1590,14.1759,82.9973,297.5204,0,U,66187,999,565,-.60378E-1,-.2049825E-1,0
STARLINK-35041,2025-243M,2025-11-24T12:00:02.000160,15.43946969,.0001144,53.1599,14.0851,69.8126,355.6085,0,U,66188,999,570,-.49477E-1,-.2034756E-1,0
STARLINK-34694,2025-243N,2025-11-24T10:06:16.860672,15.48025993,.0000595,53.1604,14.4312,104.6443,255.4631,0,U,66189,999,453,-.12024E-1,-.593207E-2,0
STARLINK-34863,2025-243P,2025-11-24T12:00:02.000160,15.41935741,.0001224,53.1597,14.1125,57.5346,353.8010,0,U,66190,999,565,-.53538E-1,-.2053989E-1,0
STARLINK-35061,2025-243Q,2025-11-24T12:00:02.000160,15.36071289,.0000894,53.1598,14.1701,87.9561,294.6182,0,U,66191,999,570,-.62558E-1,-.19851E-1,0
STARLINK-34937,2025-243R,2025-11-24T12:00:02.000160,15.34993130,.0000942,53.1599,14.1977,91.7969,277.0598,0,U,66192,999,543,-.64559E-1,-.1979221E-1,0
