OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
ISS (ZARYA),1998-067A,2025-11-24T05:19:54.222240,15.49037704,.0003908,51.6316,234.1374,162.5046,197.6078,0,U,25544,999,53998,.26056E-3,.13951E-3,0
CSS (TIANHE),2021-035A,2025-11-24T10:52:37.737120,15.58190401,.0010588,41.4649,127.6353,260.8221,99.1419,0,U,48274,999,26117,.30596E-3,.23552E-3,0
ISS (NAUKA),2021-066A,2025-11-24T03:47:00.254976,15.49035693,.0003916,51.6317,234.4566,162.1487,197.9639,0,U,49044,999,23044,.26124382E-3,.13988E-3,0
FREGAT DEB,2011-037PF,2025-11-24T04:35:24.702432,12.34229019,.08734212,51.6172,254.2854,183.7813,175.6114,0,U,49271,999,19964,.18242327E-1,.8316E-4,0
CSS (WENTIAN),2022-085A,2025-11-23T21:01:58.191744,15.58163060,.0010566,41.4649,131.1321,257.4629,102.5027,0,U,53239,999,17384,.27798461E-3,.2134E-3,0
CSS (MENGTIAN),2022-143A,2025-11-23T21:01:58.191744,15.58163060,.0010566,41.4649,131.1321,257.4629,102.5027,0,U,54216,999,15864,.27798461E-3,.2134E-3,0
SOYUZ-MS 27,2025-072A,2025-11-24T03:47:00.254976,15.49035693,.0003916,51.6317,234.4566,162.1487,197.9639,0,U,63520,999,2020,.26124382E-3,.13988E-3,0
SHENZHOU-20 (SZ-20),2025-082A,2025-11-23T21:01:58.191744,15.58163060,.0010566,41.4649,131.1321,257.4629,102.5027,0,U,63632,999,25530,.27798461E-3,.2134E-3,0
PROGRESS-MS 31,2025-146A,2025-11-24T03:47:00.254976,15.49035693,.0003916,51.6317,234.4566,162.1487,197.9639,0,U,64751,999,675,.26124382E-3,.13988E-3,0
TIANZHOU-9,2025-149A,2025-11-23T21:01:58.191744,15.58163060,.0010566,41.4649,131.1321,257.4629,102.5027,0,U,64786,999,25530,.27798461E-3,.2134E-3,0
CREW DRAGON 11,2025-166A,2025-11-24T03:47:00.254976,15.49035693,.0003916,51.6317,234.4566,162.1487,197.9639,0,U,65077,999,214,.26124382E-3,.13988E-3,0
DRAGON CRS-33,2025-186A,2025-11-24T03:47:00.254976,15.49035693,.0003916,51.6317,234.4566,162.1487,197.9639,0,U,65304,999,11,.26124382E-3,.13988E-3,0
PROGRESS-MS 32,2025-204A,2025-11-24T03:47:00.254976,15.49035693,.0003916,51.6317,234.4566,162.1487,197.9639,0,U,65586,999,27,.26124382E-3,.13988E-3,0
CYGNUS NG-23,2025-208A,2025-11-24T03:47:00.254976,15.49035693,.0003916,51.6317,234.4566,162.1487,197.9639,0,U,65616,999,22,.26124382E-3,.13988E-3,0
DRAGONFLY,1998-067XH,2025-11-24T03:13:35.098464,15.65678178,.00060509,51.6275,230.5521,172.8039,187.3044,0,U,65729,999,1024,.1264427E-2,.131813E-2,0
1998-067XJ,1998-067XJ,2025-11-24T02:05:36.927744,15.89933039,.00124698,51.6191,227.1932,176.8753,183.2333,0,U,65730,999,1028,.26823627E-2,.821396E-2,.2830898E-3
1998-067XK,1998-067XK,2025-11-24T03:16:07.849344,15.61839277,.00060103,51.6301,231.3204,147.5835,212.5529,0,U,65731,999,1023,.96580707E-3,.85895E-3,0
RSP-03,1998-067XL,2025-11-23T23:26:19.865184,15.63631631,.00069398,51.6285,231.7507,150.3605,209.7784,0,U,65732,999,1022,.11333715E-2,.108568E-2,0
GHS-01,1998-067XM,2025-11-24T10:18:47.176416,15.67279698,.0006598,51.6289,228.7787,172.5677,187.5418,0,U,65733,999,1030,.13558E-2,.15121E-2,0
YOTSUBA-KULOVER,1998-067XN,2025-11-24T02:38:58.350048,15.56556490,.00024182,51.6300,233.3945,121.4607,238.6621,0,U,65941,999,695,.89119483E-3,.64547E-3,0
BOTAN,1998-067XP,2025-11-24T03:32:58.039872,15.58627558,.00046795,51.6299,232.8955,127.4021,232.7398,0,U,65942,999,696,.1189409E-2,.93675E-3,0
E-KAGAKU-1,1998-067XQ,2025-11-24T02:38:31.699104,15.56534429,.00040044,51.6308,233.3942,108.5710,251.5717,0,U,65943,999,695,.88691505E-3,.64191E-3,0
HRC MONOBLOCK CAMERA,1998-067XR,2025-11-24T09:06:19.219104,15.52530108,.0004708,51.6305,232.9365,110.0504,250.0993,0,U,66052,999,598,.57106E-3,.35373E-3,0
HTV-X1,2025-241A,2025-11-24T03:47:00.254976,15.49035693,.0003916,51.6317,234.4566,162.1487,197.9639,0,U,66174,999,145,.26124382E-3,.13988E-3,0
SZ-21 MODULE,2025-246C,2025-11-23T22:21:11.047104,15.61215711,.00046628,41.4753,130.6686,134.1309,225.9915,0,U,66515,999,150,.33497264E-3,.28971E-3,0
