x,y,z,t
4993822.420992,-5011162.408943,0.000000,-3.060000
4665094.056923,-5319046.818610,0.002844,56.940000
4317444.732327,-5605356.772027,0.047140,116.939000
3952286.607122,-5868934.939452,0.139556,176.938000
3571102.789297,-6108715.697857,0.206180,236.937000
3175440.791119,-6323729.909850,0.322242,296.937000
2766906.273244,-6513108.779839,0.489871,356.936000
2347156.576118,-6676087.303373,0.705540,416.936000
1917894.015803,-6812007.313847,0.958831,476.934000
1480859.056689,-6920320.075903,1.228855,536.934000
1037823.254464,-7000588.458834,1.480811,596.930000
590582.184821,-7052488.625657,1.664655,656.928000
140948.160145,-7075811.292164,1.720301,716.926000
-309256.959366,-7070462.500449,1.571813,776.924000
-758209.054314,-7036463.981756,1.159573,836.922000
-1204089.033985,-6973953.053601,0.434202,896.921000
-1645090.078289,-6883182.107282,-0.625496,956.921000
-2079424.835580,-6764517.658319,-2.006442,1016.919000
-2505332.653938,-6618438.929228,-3.660564,1076.918000
-2921086.646445,-6445535.997006,-5.510613,1136.917000
-3325000.665417,-6246507.473742,-7.461605,1196.916000
-3715436.135466,-6022157.724519,-9.415450,1256.915000
-4090808.687553,-5773393.638768,-11.285551,1316.914000
-4449594.517148,-5501221.015082,-13.008299,1376.912000
-4790336.559467,-5206740.511845,-14.549228,1436.912000
-5111650.315352,-4891143.291833,-15.903006,1496.911000
-5412229.486600,-4555706.244143,-17.087934,1556.910000
-5690851.232255,-4201786.944354,-18.136777,1616.909000
-5946381.171482,-3830818.229235,-19.086348,1676.908000
-6177778.011808,-3444302.495597,-19.968172,1736.907000
-6384097.837110,-3043805.667816,-20.801878,1796.906000
-6564497.974708,-2630950.948131,-21.592043,1856.906000
-6718240.488595,-2207412.267484,-22.328275,1916.905000
-6844695.227678,-1774907.575433,-22.987702,1976.904000
-6943342.454037,-1335191.956292,-23.538807,2036.903000
-7013775.054072,-890050.541441,-23.945660,2096.902000
-7055700.296295,-441291.334251,-24.172000,2156.902000
-7068941.145538,9262.092604,-24.184945,2216.900000
-7053437.112631,459778.001082,-23.958345,2276.899000
-7009244.620211,908423.963713,-23.475802,2336.899000
-6936536.884257,1353374.299235,-22.733199,2396.897000
-6835603.298264,1792817.582587,-21.740375,2456.897000
-6706848.346945,2224964.000066,-20.521470,2516.896000
-6550790.030260,2648052.711090,-19.113570,2576.895000
-6368057.847005,3060359.014140,-17.563567,2636.894000
-6159390.310285,3460201.435423,-15.923587,2696.893000
-5925632.018283,3845948.639827,-14.245729,2756.893000
-5667730.319279,4216026.103349,-12.577061,2816.891000
-5386731.488686,4568922.664424,-10.955764,2876.890000
-5083776.534276,4903196.743057,-9.408973,2936.890000
-4760096.589280,5217482.306555,-7.952423,2996.889000
-4417007.922428,5510494.533122,-6.591511,3056.888000
-4055906.565665,5781035.162878,-5.323120,3116.887000
-3678262.681579,6027997.439282,-4.137533,3176.886000
-3285614.519110,6250370.759850,-3.019986,3236.886000
-2879562.152451,6447244.876795,-1.951794,3296.884000
-2461760.928920,6617813.707228,-0.911299,3356.884000
-2033914.619358,6761378.728121,0.124881,3416.883000
-1597768.451282,6877351.876649,1.179965,3476.881000
-1155101.874871,6965258.019471,2.274373,3536.881000
-707721.282808,7024736.921719,3.422659,3596.881000
