x,y,z,t,firing
-10047130.996254,423749.412819,8823779.998403,-13.862000,0
-10169009.271406,148608.163498,8694623.794010,46.134000,0
-10284798.620103,-126622.063510,8560257.631808,106.133000,0
-10394431.821916,-401776.493203,8420763.785793,166.129000,0
-10497845.381370,-676690.508711,8276227.540157,226.128000,0
-10594979.560893,-951199.749155,8126737.134502,286.114000,1
-10685616.431830,-1224656.946143,7972654.485452,346.108000,1
-10769555.700349,-1496413.136687,7814357.811098,406.104000,1
-10846770.252574,-1766302.927896,7651963.737466,466.100000,1
-10917237.362213,-2034162.678901,7485591.114985,526.096000,1
-10980938.613305,-2299830.584278,7315360.882908,586.095000,1
-11037859.818874,-2563146.748971,7141395.937430,646.092000,0
-11088087.037113,-2824443.013585,6963489.196759,706.088000,0
-11131694.528657,-3084053.032460,6781422.103765,766.087000,0
-11168656.109157,-3341821.771415,6595303.345103,826.084000,0
-11198949.039689,-3597595.132643,6405243.724916,886.083000,0
-11222554.036717,-3851220.011094,6211356.125638,946.079000,0
-11239455.281964,-4102544.350939,6013755.468669,1006.076000,0
-11249640.432217,-4351417.202162,5812558.674867,1066.074000,0
-11253100.629050,-4597688.777347,5607884.624809,1126.071000,0
-11249830.508449,-4841210.508683,5399854.118800,1186.070000,0
-11239828.210361,-5081835.105254,5188589.836553,1246.067000,0
-11223095.388119,-5319416.610631,4974216.296529,1306.063000,0
-11199637.217755,-5553810.460841,4756859.814854,1366.062000,0
-11169462.407172,-5784873.542725,4536648.463789,1426.057000,0
-11132583.205149,-6012464.252736,4313712.029685,1486.055000,0
-11089015.410171,-6236442.556220,4088181.970391,1546.049000,0
-11038778.379034,-6456670.047202,3860191.372036,1606.044000,0
-10981895.035214,-6673010.008718,3629874.905152,1666.041000,0
-10918391.876959,-6885327.473727,3397368.780077,1726.032000,0
-10848298.985057,-7093489.286622,3162810.701576,1786.030000,0
-10771650.030261,-7297364.165376,2926339.822631,1846.025000,0
-10688482.280302,-7496822.764344,2688096.697343,1906.020000,0
-10598836.606465,-7691737.737738,2448223.232875,1966.019000,0
-10502757.489663,-7881983.803803,2206862.640403,2026.008000,0
-10400293.025965,-8067437.809700,1964159.384987,2086.007000,0
-10291494.931509,-8247978.797117,1720259.134324,2146.004000,0
-10176418.546758,-8423488.068613,1475308.706315,2206.000000,0
-10055122.840014,-8593849.254703,1229456.015393,2265.999000,0
-9927670.410142,-8758948.381688,982850.017540,2325.994000,0
-9794127.488422,-8918673.940227,735640.653950,2385.993000,0
-9654563.939462,-9072916.954649,487978.793272,2445.989000,0
-9509053.261088,-9221571.053000,240016.172370,2505.983000,0
-9357672.583142,-9364532.537803,-8094.664443,2565.979000,0
-9200502.665095,-9501700.457525,-256200.427770,2625.974000,0
-9037627.892396,-9632976.678728,-504147.147135,2685.973000,0
-8869136.271460,-9758265.958869,-751780.236691,2745.968000,0
-8695119.423214,-9877476.019738,-998944.562678,2805.964000,0
-8515672.575098,-9990517.621479,-1245484.512688,2865.963000,0
-8330894.551418,-10097304.637168,-1491244.066776,2925.958000,0
-8140887.761971,-10197754.127899,-1736066.870473,2985.957000,0
-7945758.188812,-10291786.418322,-1979796.309744,3045.951000,0
-7745615.371080,-10379325.172589,-2222275.587925,3105.946000,0
-7540572.387765,-10460297.470631,-2463347.804689,3165.945000,0
-7330745.838302,-10534633.884718,-2702856.037069,3225.942000,0
-7116255.820895,-10602268.556203,-2940643.422570,3285.941000,0
-6897225.908443,-10663139.272399,-3176553.244409,3345.938000,0
-6673783.121956,-10717187.543484,-3410429.018890,3405.934000,0
-6446057.901356,-10764358.679342,-3642114.584948,3465.920000,0
-6214184.073530,-10804601.866257,-3871454.195883,3525.917000,0
-5978298.817527,-10837870.243335,-4098292.613265,3585.916000,0
-5738542.626778,-10864120.978564,-4322475.203058,3645.911000,0
-5495059.268225,-10883315.344369,-4543848.033928,3705.907000,0
-5247995.738232,-10895418.792557,-4762257.977744,3765.905000,0
-4997502.215166,-10900401.028519,-4977552.812258,3825.896000,0
-4743732.008537,-10898236.084530,-5189581.325951,3885.895000,0
-4486841.504574,-10888902.392033,-5398193.425004,3945.892000,0
-4226990.108127,-10872382.852732,-5603240.242374,4005.888000,0
-3964340.180784,-10848664.908337,-5804574.248934,4065.887000,0
-3699056.975098,-10817740.608817,-6002049.366619,4125.885000,0
-3431308.564820,-10779606.678960,-6195521.083536,4185.884000,0
-3161265.771034,-10734264.583087,-6384846.570955,4245.880000,0
-2889102.084099,-10681720.587727,-6569884.802120,4305.877000,0
-2614993.581312,-10621985.822059,-6750496.672801,4365.876000,0
-2339118.840202,-10555076.335937,-6926545.123472,4425.873000,0
-2061658.847379,-10481013.155296,-7097895.263043,4485.872000,0
-1782796.902861,-10399822.334721,-7264414.494006,4545.869000,0
-1502718.519828,-10311535.007001,-7425972.638896,4605.862000,0
-1221611.319723,-10216187.429412,-7582442.067919,4665.860000,0
-939664.922685,-10113821.026560,-7733697.827610,4725.855000,0
-657070.833237,-10004482.429522,-7879617.770372,4785.854000,0
-374022.321243,-9888223.511099,-8020082.684723,4845.849000,0
-90714.298078,-9765101.416932,-8154976.426089,4905.844000,0
192656.811963,-9635178.592269,-8284186.047944,4965.843000,0
