x,y,z,t,firing,detected_by_GS
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
12537266.798427,1505218.335249,-1732274.625102,7800.000000,0,1
12687958.580614,1570036.541643,-1776647.556137,7860.000000,0,1
12805512.641643,1691390.389717,-1741128.068093,7920.000000,0,1
12890577.490918,1846261.712340,-1645925.001139,7980.000000,0,1
12948515.679798,2022716.162898,-1506123.394954,8040.000000,0,1
12981548.140434,2213567.326234,-1331922.080672,8100.000000,0,1
12993449.131844,2413908.346706,-1131696.284506,8160.000000,0,1
12988930.599522,2620803.077470,-912480.579105,8220.000000,0,1
12967548.028698,2832175.020149,-678930.168212,8280.000000,0,1
12933012.396010,3046468.293572,-433374.340711,8340.000000,0,1
12886762.597017,3261562.719567,-180047.410965,8400.000000,0,1
12829485.558056,3476946.700486,78676.034910,8460.000000,0,1
12762003.936656,3691276.223397,340732.492718,8520.000000,0,1
12685096.774396,3904026.086976,605580.014564,8580.000000,0,1
12599438.078519,4114976.538282,870949.465794,8640.000000,0,1
12505494.267308,4323203.464770,1135693.114231,8700.000000,0,1
12403207.773610,4527976.236167,1400468.514923,8760.000000,0,1
12293533.827121,4729196.445630,1664582.909804,8820.000000,0,1
12175751.899449,4926638.180195,1926123.135980,8880.000000,0,1
12051208.159701,5120417.744223,2186677.250384,8940.000000,0,1
11919171.762020,5309823.693549,2445054.929836,9000.000000,0,1
11779341.503252,5495248.127812,2700591.436566,9060.000000,0,1
11632234.840730,5676317.520251,2953115.047518,9120.000000,0,1
11478534.675657,5852873.656557,3204315.357348,9180.000000,0,1
11317905.531745,6024970.876568,3451109.436186,9240.000000,0,1
11150669.124827,6193057.298160,3695884.264636,9300.000000,0,1
10976773.299940,6356203.614597,3937651.004659,9360.000000,0,1
10796128.420473,6515202.473029,4175376.349972,9420.000000,0,1
10608310.492254,6669379.030393,4409602.663657,9480.000000,0,1
10414656.652359,6819044.661925,4641371.686277,9540.000000,0,1
10215379.436918,6963396.999120,4869159.408313,9600.000000,0,1
10009200.501471,7103810.073926,5093081.058041,9660.000000,0,1
9797612.300986,7238652.579407,5314317.515468,9720.000000,0,1
9579831.157476,7369172.977185,5530766.897091,9780.000000,0,1
9356403.321723,7494754.940792,5744135.083924,9840.000000,0,1
9127264.115147,7615221.919503,5952936.608593,9900.000000,0,1
8892447.073096,7731357.773693,6158389.834056,9960.000000,0,1
8652237.521977,7842120.431514,6360074.340746,10020.000000,0,1
8407056.212244,7947637.179487,6557232.268777,10080.000000,0,1
8157192.684471,8048321.450457,6749969.791374,10140.000000,0,1
7901824.250043,8143715.169189,6938127.765050,10200.000000,0,1
7641721.974136,8234260.439177,7121953.912338,10260.000000,0,1
7377281.083757,8319223.391056,7301170.102430,10320.000000,0,1
7108795.835158,8399241.148344,7475850.052673,10380.000000,0,1
6835626.690013,8473410.756043,7646082.888826,10440.000000,0,1
6558218.168690,8542946.969218,7811442.810253,10500.000000,0,1
6276572.553346,8606880.949907,7971637.549242,10560.000000,0,1
5991809.028605,8665548.008724,8126736.675378,10620.000000,0,1
5702777.705833,8718406.298188,8277081.328295,10680.000000,0,1
5410243.328967,8766006.550084,8422463.410817,10740.000000,0,1
5114827.225735,8807781.534572,8562150.415687,10800.000000,0,1
4816280.601164,8844694.898479,8696645.539663,10860.000000,0,1
4514430.363827,8876313.037868,8826063.578039,10920.000000,0,1
4210309.668447,8901799.868674,8949435.408541,10980.000000,0,1
3904178.663990,8922390.417914,9067777.093686,11040.000000,0,1
3595062.786781,8937775.131573,9180386.887396,11100.000000,0,1
3283906.679225,8947141.575887,9287093.185154,11160.000000,0,1
2970612.503925,8950897.754836,9388453.534257,11220.000000,0,1
2655525.262000,8949687.911425,9484397.523857,11280.000000,0,1
2339126.551525,8942867.882947,9573837.355208,11340.000000,0,1
2020584.895186,8930586.291616,9657599.485704,11400.000000,0,1
1701327.054510,8912568.401521,9735154.590428,11460.000000,0,1
1380847.026551,8889104.725288,9806995.462175,11520.000000,0,1
1059023.752832,8860511.342086,9872234.067692,11580.000000,0,1
737835.132866,8826271.073228,9932073.172650,11640.000000,0,1
415901.292494,8786655.610192,9986233.468624,11700.000000,0,1
92896.393621,8741381.929790,10034139.012349,11760.000000,0,1
-229890.496784,8690890.415491,10075429.972783,11820.000000,0,1
-552104.976145,8635457.906153,10110917.719515,11880.000000,0,1
-874334.167662,8575030.144261,10140376.791764,11940.000000,0,1
-1195636.864989,8509176.979637,10163099.403836,12000.000000,0,1
-1516489.557452,8437831.340272,10179983.660562,12060.000000,0,1
-1836564.350309,8361217.633692,10190843.206467,12120.000000,0,1
-2155587.579153,8279896.595516,10195552.611750,12180.000000,0,1
-2472646.955016,8193056.258047,10193058.239626,12240.000000,0,1
-2789000.861540,8101307.014446,10185553.564702,12300.000000,0,1
-3103298.718508,8004566.623241,10171238.454603,12360.000000,0,1
