x,y,z,t,firing,detected_by_GS
13030186.247939,2964929.878177,-594182.055243,8218.816000,0,1
8137205.220168,8077836.065197,6797327.577065,10138.816000,0,1
-1540310.933375,8433087.045460,10180037.425971,12058.816000,0,1
11296305.460813,6139222.705962,3593930.318522,9238.816000,0,1
3261112.390405,8950593.872727,9300836.562698,11158.816000,0,1
13089463.395588,2546311.392171,-1094406.674355,8098.816000,0,1
8632763.658744,7877848.032629,6414720.766462,10018.816000,0,1
-897886.613116,8571192.838167,10141727.128282,11938.816000,0,1
11609909.649290,5811228.559073,3119840.910578,9118.816000,0,1
3881837.152648,8927747.226494,9083793.137286,11038.816000,0,1
12818065.613704,3779838.972293,409340.875513,8458.816000,0,1
7088179.301348,8418645.739912,7512197.494874,10378.816000,0,1
-2812366.591195,8095718.356740,10182277.575905,12298.816000,0,1
10588136.762356,6750006.889252,4514945.306884,9478.816000,0,1
1997412.321733,8931015.957848,9666577.650723,11398.816000,0,1
12939655.174651,3376436.642151,-92531.425741,8338.816000,0,1
7621930.697288,8258251.371831,7163452.115092,10258.816000,0,1
-2178988.926116,8274467.045665,10193565.317747,12178.816000,0,1
10955446.022410,6452404.086723,4059341.801741,9358.816000,0,1
2632461.835425,8951686.197349,9495257.644613,11278.816000,0,1
12482859.485369,4558450.167949,1408928.313450,8698.816000,0,1
5970440.210414,8677842.736733,8154185.522402,10618.816000,0,1
13100324.488726,1475301.732745,-2330884.129133,7798.816000,0,1
9777721.377364,7295605.175234,5392324.105015,9718.816000,0,1
714298.567504,8824631.532162,9938292.123872,11638.816000,0,1
12665683.268463,4174160.929768,910230.300780,8578.816000,0,1
6537239.554186,8558625.783793,7842712.021488,10498.816000,0,1
10195250.606775,7031303.934654,4959633.441529,9598.816000,0,1
1357505.617590,8888632.548657,9814378.161909,11518.816000,0,1
12027616.869002,5293224.220345,2394954.939099,8938.816000,0,1
4794775.165948,8852840.683126,8716996.465258,10858.816000,0,1
13107342.898647,2334650.011182,-1343610.215088,8038.816000,0,1
