x,y,z,t,firing,detected_by_GS
10128181.542909,7077780.487350,5015417.449559,9618.443000,0,1
6153632.199046,8636801.788222,8070075.746689,10578.443000,0,1
10329897.189141,6939120.916113,4807100.301358,9558.443000,0,1
6440995.343411,8577880.957798,7904946.651876,10518.443000,0,1
9706980.117584,7337265.465845,5461584.955595,9738.443000,0,1
5585488.768287,8745162.780236,8350920.116844,10698.443000,0,1
9920544.740128,7206283.931466,5267002.293164,9678.443000,0,1
5856798.833581,8688645.253111,8239316.359435,10638.443000,0,1
9261861.708536,7580677.446482,5881263.215046,9858.443000,0,1
5002248.712467,8831452.591666,8618924.278996,10818.443000,0,1
9485961.170183,7458140.900152,5697141.086377,9798.443000,0,1
5297495.831779,8791669.326360,8483856.314223,10758.443000,0,1
11849290.824658,5526933.455352,2711520.635989,9018.443000,0,1
8795821.250851,7807476.908677,6273605.253203,9978.443000,0,1
4390248.415507,8890877.501067,8889375.211370,10938.443000,0,1
9030009.953982,7694633.311929,6092673.643560,9918.443000,0,1
4690142.390076,8861422.588724,8767330.609534,10878.443000,0,1
11562850.875539,5864145.682933,3211778.442733,9138.443000,0,1
8308804.815451,8014818.384316,6655451.670950,10098.443000,0,1
3772966.052534,8930343.080001,9128813.081897,11058.443000,0,1
11712219.789894,5695672.841084,2974707.420217,9078.443000,0,1
8547562.966772,7907477.714259,6511267.404937,10038.443000,0,1
4078497.831546,8911933.016489,9016839.396665,10998.443000,0,1
11241877.173445,6191868.198572,3668162.509013,9258.443000,0,1
7797814.841111,8200145.772413,7039768.521665,10218.443000,0,1
3149352.715701,8948656.994180,9342601.050807,11178.443000,0,1
11414169.482559,6022955.276125,3494918.846665,9198.443000,0,1
8057720.075615,8111111.027094,6841508.727363,10158.443000,0,1
3466188.018559,8943708.760991,9234660.596044,11118.443000,0,1
10898050.952821,6500898.745125,4145105.633344,9378.443000,0,1
7266793.724003,8365671.989753,7405405.246843,10338.443000,0,1
2524525.380661,8947470.768378,9528707.970846,11298.443000,0,1
11076256.343025,6345327.435543,3931274.191468,9318.443000,0,1
7528192.404658,8282061.933726,7247703.155086,10278.443000,0,1
2841222.181546,8952260.673557,9435330.798304,11238.443000,0,1
10525540.557508,6796972.006167,4590358.002045,9498.443000,0,1
6723763.211342,8513664.844831,7734766.349254,10458.443000,0,1
10717347.593406,6647066.256548,4399841.312046,9438.443000,0,1
7002382.727215,8444471.622149,7558021.040961,10398.443000,0,1
2215477.299663,8943527.374220,9607242.562339,11358.443000,0,1
