x,y,z,t,firing,detected_by_GS
8640562.845951,9194464.511158,4325401.487747,8792.725000,0,1
-143080.342915,9224920.604217,9600035.269647,10712.725000,0,1
11502105.494551,6831172.902273,246809.489007,7772.725000,0,1
4875590.885710,9962952.335948,7381912.034701,9692.725000,0,1
-4598745.073808,7235076.294256,10185721.113234,11612.725000,0,1
9068234.620729,8988752.817648,3889787.644700,8672.725000,0,1
447195.021222,9386944.442736,9425818.062227,10592.725000,0,1
11695324.223124,6472947.754062,-289955.579489,7652.725000,0,1
5431213.822453,9925867.473494,7045551.270172,9572.725000,0,1
-4037417.019860,7539068.517047,10191550.262235,11492.725000,0,1
9469509.040375,8767216.841178,3416912.667616,8552.725000,0,1
1037447.059952,9533111.969263,9227124.264302,10472.725000,0,1
11900208.589947,6086622.902018,-754642.780159,7532.725000,0,1
5968159.632159,9886368.971516,6655316.511098,9452.725000,0,1
-3458719.003653,7850523.790636,10169088.636196,11372.725000,0,1
9844772.263941,8526227.097906,2925882.720865,8432.725000,0,1
1672115.762659,9675278.137866,8994454.211234,10352.725000,0,1
-7500202.345823,5127146.229222,9735652.331525,12272.725000,0,1
12033340.632016,5698763.377300,-1289970.867902,7412.725000,0,1
6493209.591690,9809265.919701,6275179.464827,9332.725000,0,1
-2863397.183299,8159167.373801,10118476.562259,11252.725000,0,1
10209361.391884,8256885.495934,2471710.482646,8312.725000,0,1
2280042.591445,9780600.553583,8747105.978338,10232.725000,0,1
-7009051.320824,5527880.004073,9873093.837220,12152.725000,0,1
7002597.913144,9710236.931739,5877335.226517,9212.725000,0,1
-2290925.986380,8393856.020196,10055275.792833,11132.725000,0,1
10537741.683640,7974467.942544,1972934.117672,8192.725000,0,1
2849030.641577,9862899.580723,8480592.052717,10112.725000,0,1
-6501858.823032,5917110.742195,9986817.161242,12032.725000,0,1
7495057.485552,9591036.083248,5454843.825341,9092.725000,0,1
-1673256.425260,8675096.610182,9951773.374526,11012.725000,0,1
10837083.691614,7673981.677540,1462369.589119,8072.725000,0,1
3440659.812892,9922551.478925,8190339.130419,9992.725000,0,1
-5977249.538846,6309180.626997,10075171.044419,11912.725000,0,1
7968699.255544,9449609.661788,5013397.880781,8972.725000,0,1
-1075225.177739,8899205.115920,9833246.646608,10892.725000,0,1
11123835.086303,7349498.488109,980961.860917,7952.725000,0,1
4025723.143722,9955078.842857,7882662.894085,9872.725000,0,1
-5434039.445462,6703125.810091,10137035.536951,11792.725000,0,1
8421254.617541,9286452.544533,4552260.063571,8852.725000,0,1
-466262.371444,9112073.598033,9687660.024928,10772.725000,0,1
11375410.165987,7010695.363832,477301.000401,7832.725000,0,1
4594969.426315,9966218.468839,7553762.504173,9752.725000,0,1
-4882604.697578,7053426.229158,10176797.163904,11672.725000,0,1
8861274.208424,9088790.934869,4135252.258559,8732.725000,0,1
124165.847347,9287324.711429,9524790.641460,10652.725000,0,1
11570549.673882,6664348.388134,-80915.324493,7712.725000,0,1
5153808.389100,9952574.084095,7207004.598504,9632.725000,0,1
-4320244.626260,7385506.726755,10192154.443347,11552.725000,0,1
9268308.795588,8883734.245186,3638640.204138,8612.725000,0,1
741439.304339,9461544.527305,9329804.993325,10532.725000,0,1
11821085.878454,6275483.388180,-487351.634249,7592.725000,0,1
5699204.704619,9920411.530783,6831909.250257,9512.725000,0,1
-3742094.061220,7715213.781496,10180346.379503,11432.725000,0,1
9663625.223096,8646943.606256,3185522.887216,8492.725000,0,1
1347256.057605,9605576.248892,9115004.906188,10412.725000,0,1
11968390.253475,5895107.221420,-1026445.697080,7472.725000,0,1
6232092.760249,9860536.791955,6443917.946401,9392.725000,0,1
-3160829.013479,8010535.635025,10146346.361690,11312.725000,0,1
10023317.345723,8397783.350886,2678413.400542,8372.725000,0,1
1975166.134100,9730998.110009,8873516.050277,10292.725000,0,1
-7257458.658357,5314395.213328,9807992.103047,12212.725000,0,1
6749709.175511,9768631.049160,6061224.016208,9272.725000,0,1
-2560168.350544,8309233.497273,10082851.645301,11192.725000,0,1
10358583.588240,8127099.385671,2170896.524183,8252.725000,0,1
2550853.149460,9823583.650788,8618206.005718,10172.725000,0,1
-6759401.278801,5702389.776276,9934270.771381,12092.725000,0,1
7251053.100677,9653413.243773,5668508.534196,9152.725000,0,1
-1967977.759447,8560509.152764,10000774.537614,11072.725000,0,1
10696144.972648,7824260.283769,1731903.300412,8132.725000,0,1
3136779.967627,9898038.670857,8337000.476290,10052.725000,0,1
-6238485.211120,6136639.629988,10032367.546385,11972.725000,0,1
7733545.672358,9526437.828364,5223843.645127,9032.725000,0,1
-1369823.120242,8795544.770308,9893749.900306,10952.725000,0,1
10975084.438869,7517312.930010,1202427.132736,8012.725000,0,1
3745778.436483,9936106.337061,8043109.300630,9932.725000,0,1
-5707014.232938,6511553.291793,10108951.679865,11852.725000,0,1
8198833.287113,9368305.436668,4795501.653486,8912.725000,0,1
-767714.108590,9011879.532017,9762262.542781,10832.725000,0,1
11237287.582765,7187878.559756,696247.127908,7892.725000,0,1
4319638.148556,9955567.502648,7728969.027926,9812.725000,0,1
-5159770.904558,6880576.025347,10159959.383864,11732.725000,0,1
