x,y,z,t,firing
-8383919.327366,3317055.071231,9860376.570694,-3.347000,0
-8565792.005390,3053127.990819,9791227.370626,56.627000,0
-8742516.781842,2787366.023138,9716189.424078,116.627000,0
-8913989.255149,2519929.464253,9635309.873128,176.627000,0
-9080108.256796,2250979.507582,9548639.345688,236.627000,0
-9240775.908097,1980678.145331,9456231.920218,296.623000,0
-9395897.674811,1709188.069688,9358145.088425,356.609000,0
-9545382.419671,1436672.573879,9254439.716087,416.609000,0
-9689142.452604,1163295.453078,9145180.001795,476.609000,0
-9827093.578839,889220.905300,9030433.433906,536.607000,0
-9959155.144749,614613.432298,8910270.745574,596.606000,0
-10085250.081430,339637.740523,8784765.867938,656.592000,0
-10205304.946120,64458.642244,8653995.881608,716.592000,0
-10319249.961203,-210759.043172,8518040.966251,776.590000,0
-10427019.051046,-485850.587718,8376984.348576,836.590000,0
-10528549.876483,-760651.452894,8230912.248581,896.590000,0
-10623783.866984,-1034997.387506,8079913.824147,956.590000,0
-10712666.250606,-1308724.525033,7924081.114123,1016.590000,0
-10795146.081478,-1581669.480535,7763508.979718,1076.590000,0
-10871176.265086,-1853669.447023,7598295.044481,1136.590000,0
-10940713.581162,-2124562.291252,7428539.632756,1196.590000,0
-11003718.704239,-2394186.648882,7254345.706691,1256.573000,0
-11060156.221962,-2662382.018957,7075818.801936,1316.573000,0
-11109994.650928,-2928988.857636,6893066.961875,1376.573000,0
-11153206.450312,-3193848.671150,6706200.670654,1436.567000,0
-11189768.033099,-3456804.107910,6515332.784896,1496.567000,0
-11219659.774991,-3717699.049733,6320578.464197,1556.559000,0
-11242866.021087,-3976378.702155,6122055.100525,1616.558000,0
-11259375.090099,-4232689.683721,5919882.246382,1676.557000,0
-11269179.276396,-4486480.114292,5714181.541978,1736.556000,0
-11272274.849674,-4737599.702254,5505076.641322,1796.554000,0
-11268662.052346,-4985899.830611,5292693.137330,1856.547000,0
-11258345.094749,-5231233.641952,5077158.486038,1916.547000,0
-11241332.147934,-5473456.122167,4858601.929837,1976.547000,0
-11217635.334339,-5712424.182959,4637154.419932,2036.547000,0
-11187270.716160,-5947996.743056,4412948.537954,2096.547000,0
-11150258.281496,-6180034.808093,4186118.416823,2156.540000,0
-11106621.928389,-6408401.549173,3956799.660937,2216.538000,0
-11056389.446535,-6632962.379973,3725129.265635,2276.538000,0
-10999592.496943,-6853585.032461,3491245.536094,2336.538000,0
-10936266.589396,-7070139.631122,3255288.005632,2396.538000,0
-10866451.057774,-7282498.765666,3017397.353482,2456.528000,0
-10790189.033371,-7490537.562264,2777715.322126,2516.528000,0
-10707527.415984,-7694133.753118,2536384.634140,2576.528000,0
-10618516.843066,-7893167.744513,2293548.908704,2636.526000,0
-10523211.656786,-8087522.683190,2049352.577746,2696.526000,0
-10421669.869072,-8277084.521063,1803940.801795,2756.524000,0
-10313953.124768,-8461742.078305,1557459.385607,2816.524000,0
-10200126.662692,-8641387.104620,1310054.693560,2876.524000,0
-10080259.274885,-8815914.338864,1061873.564913,2936.524000,0
-9954423.263901,-8985221.566851,813063.228947,2996.517000,0
-9822694.398224,-9149209.677361,563771.220029,3056.514000,0
-9685151.865927,-9307782.716413,314145.292682,3116.514000,0
-9541878.226393,-9460847.939591,64333.336640,3176.514000,0
-9392959.360365,-9608315.862603,-185516.708005,3236.514000,0
-9238484.418195,-9750100.309925,-435256.935557,3296.514000,0
-9078545.766368,-9886118.461540,-684739.559319,3356.502000,0
-8913238.932436,-10016290.897839,-933816.996000,3416.502000,0
-8742662.548169,-10140541.642491,-1182341.949881,3476.502000,0
-8566918.291193,-10258798.203442,-1430167.496709,3536.502000,0
-8386110.825005,-10370991.611926,-1677147.167267,3596.502000,0
