a,e,i,t,firing,detected_by_GS
13378137.000000,0.005000,0.872665,0.000000,0,0
13378130.325580,0.004991,0.872664,60.000000,0,0
13378116.693520,0.004982,0.872664,120.000000,0,0
13378096.147889,0.004973,0.872663,180.000000,0,0
13378068.749512,0.004964,0.872662,240.000000,0,0
13378034.575728,0.004956,0.872661,300.000000,0,0
13377993.720067,0.004948,0.872660,360.000000,0,0
13377946.292113,0.004940,0.872658,420.000000,0,0
13377892.416986,0.004932,0.872656,480.000000,0,0
13377832.235060,0.004925,0.872654,540.000000,0,0
13377765.901514,0.004919,0.872652,600.000000,0,0
13377693.585825,0.004912,0.872650,660.000000,0,0
13377615.471450,0.004907,0.872647,720.000000,0,0
13377531.755139,0.004902,0.872644,780.000000,0,0
13377442.646499,0.004897,0.872642,840.000000,0,0
13377348.367396,0.004893,0.872639,900.000000,0,0
13377249.151304,0.004890,0.872635,960.000000,0,0
13377145.242860,0.004887,0.872632,1020.000000,0,0
13377036.897061,0.004885,0.872629,1080.000000,0,0
13376924.378713,0.004884,0.872625,1140.000000,0,0
13376807.961731,0.004883,0.872621,1200.000000,0,0
13376687.928403,0.004884,0.872617,1260.000000,0,0
13376564.568858,0.004884,0.872613,1320.000000,0,0
13376438.180187,0.004886,0.872609,1380.000000,0,0
13376309.065831,0.004888,0.872605,1440.000000,0,0
13376177.534820,0.004891,0.872601,1500.000000,0,0
13376043.900992,0.004894,0.872597,1560.000000,0,0
13375908.482413,0.004898,0.872592,1620.000000,0,0
13375771.600471,0.004903,0.872588,1680.000000,0,0
13375633.579234,0.004908,0.872583,1740.000000,0,0
13375494.744674,0.004914,0.872579,1800.000000,0,0
13375355.423870,0.004921,0.872575,1860.000000,0,0
13375215.944426,0.004928,0.872570,1920.000000,0,0
13375076.633569,0.004935,0.872566,1980.000000,0,0
13374937.817512,0.004943,0.872561,2040.000000,0,0
13374799.820702,0.004951,0.872557,2100.000000,0,0
13374662.965035,0.004959,0.872552,2160.000000,0,0
13374527.569317,0.004968,0.872548,2220.000000,0,0
13374393.948385,0.004977,0.872544,2280.000000,0,0
13374262.412521,0.004986,0.872539,2340.000000,0,0
13374133.266743,0.004995,0.872535,2400.000000,0,0
13374006.810080,0.005005,0.872531,2460.000000,0,0
13373883.335087,0.005014,0.872527,2520.000000,0,0
13373763.127036,0.005023,0.872523,2580.000000,0,0
13373646.463399,0.005033,0.872520,2640.000000,0,0
13373533.613217,0.005042,0.872516,2700.000000,0,0
13373424.836458,0.005051,0.872513,2760.000000,0,0
13373320.383614,0.005059,0.872509,2820.000000,0,0
13373220.494993,0.005068,0.872506,2880.000000,0,0
13373125.400292,0.005076,0.872503,2940.000000,0,0
13373035.318069,0.005084,0.872500,3000.000000,0,0
13372950.455212,0.005092,0.872497,3060.000000,0,0
13372871.006646,0.005099,0.872495,3120.000000,0,0
13372797.154734,0.005105,0.872493,3180.000000,0,0
13372729.068987,0.005112,0.872490,3240.000000,0,0
13372666.905645,0.005117,0.872488,3300.000000,0,0
13372610.807290,0.005122,0.872487,3360.000000,0,0
13372560.902677,0.005127,0.872485,3420.000000,0,0
13372517.306285,0.005131,0.872484,3480.000000,0,0
13372480.118159,0.005134,0.872482,3540.000000,0,0
13372449.423654,0.005137,0.872481,3600.000000,0,0
13372425.293184,0.005139,0.872481,3660.000000,0,0
13372407.782219,0.005141,0.872480,3720.000000,0,0
13372396.930996,0.005141,0.872480,3780.000000,0,0
13372392.764515,0.005141,0.872480,3840.000000,0,0
13372395.292453,0.005141,0.872480,3900.000000,0,0
13372404.509083,0.005140,0.872480,3960.000000,0,0
13372420.393432,0.005138,0.872480,4020.000000,0,0
13372442.909168,0.005135,0.872481,4080.000000,0,0
13372472.004766,0.005132,0.872482,4140.000000,0,0
13372507.613589,0.005129,0.872483,4200.000000,0,0
13372549.653982,0.005124,0.872484,4260.000000,0,0
13372598.029597,0.005119,0.872486,4320.000000,0,0
13372652.629445,0.005114,0.872488,4380.000000,0,0
13372713.328235,0.005108,0.872490,4440.000000,0,0
13372779.986610,0.005102,0.872492,4500.000000,0,0
13372852.451404,0.005095,0.872494,4560.000000,0,0
13372930.556126,0.005087,0.872497,4620.000000,0,0
13373014.121163,0.005080,0.872499,4680.000000,0,0
13373102.954265,0.005072,0.872502,4740.000000,0,0
13373196.850934,0.005063,0.872505,4800.000000,0,0
13373295.594812,0.005055,0.872508,4860.000000,0,0
13373398.958309,0.005046,0.872511,4920.000000,0,0
13373506.702931,0.005037,0.872515,4980.000000,0,0
13373618.579899,0.005028,0.872518,5040.000000,0,0
13373734.330653,0.005019,0.872522,5100.000000,0,0
13373853.687366,0.005010,0.872526,5160.000000,0,0
13373976.373678,0.005000,0.872530,5220.000000,0,0
13374102.105139,0.004991,0.872534,5280.000000,0,0
13374230.589929,0.004982,0.872538,5340.000000,0,0
13374361.529465,0.004974,0.872542,5400.000000,0,0
13374494.619001,0.004965,0.872546,5460.000000,0,0
13374629.548468,0.004957,0.872551,5520.000000,0,0
13374766.002988,0.004949,0.872555,5580.000000,0,0
13374903.663677,0.004941,0.872559,5640.000000,0,0
13375042.208329,0.004934,0.872564,5700.000000,0,0
13375181.312087,0.004927,0.872568,5760.000000,0,0
13375320.648332,0.004921,0.872572,5820.000000,0,0
13375459.889266,0.004915,0.872577,5880.000000,0,0
13375598.706755,0.004910,0.872581,5940.000000,0,0
13375736.773055,0.004906,0.872586,6000.000000,0,0
13375873.761510,0.004902,0.872590,6060.000000,0,0
13376009.347476,0.004898,0.872594,6120.000000,0,0
13376143.208904,0.004896,0.872598,6180.000000,0,0
13376275.027203,0.004894,0.872602,6240.000000,0,0
13376404.487951,0.004892,0.872607,6300.000000,0,0
13376531.281586,0.004891,0.872611,6360.000000,0,0
13376655.104304,0.004891,0.872614,6420.000000,0,0
13376775.658614,0.004892,0.872618,6480.000000,0,0
13376892.654154,0.004894,0.872622,6540.000000,0,0
13377005.808356,0.004896,0.872625,6600.000000,0,0
13377114.847072,0.004898,0.872629,6660.000000,0,0
13377219.505408,0.004902,0.872632,6720.000000,0,0
13377319.528198,0.004906,0.872635,6780.000000,0,0
13377414.670737,0.004910,0.872638,6840.000000,0,0
13377504.699350,0.004915,0.872641,6900.000000,0,0
13377589.391920,0.004921,0.872644,6960.000000,0,0
13377668.538616,0.004927,0.872646,7020.000000,0,0
13377741.942249,0.004934,0.872648,7080.000000,0,0
13377809.418888,0.004941,0.872650,7140.000000,0,0
13377870.798304,0.004948,0.872652,7200.000000,0,0
13377925.924365,0.004956,0.872654,7260.000000,0,0
13377974.655629,0.004965,0.872655,7320.000000,0,0
13378016.865558,0.004973,0.872657,7380.000000,0,0
13378052.442984,0.004982,0.872658,7440.000000,0,0
