x,y,z,t,firing,detected_by_GS
7484448.929019,4321148.603905,-10299488.745675,-6.341000,0,0
7319319.745892,4602062.075401,-10296448.344358,53.656000,0,0
7149872.391710,4880260.471868,-10287328.905962,113.656000,0,0
6976206.775220,5155579.623644,-10272135.726575,173.655000,0,0
6798425.257184,5427857.025848,-10250877.630185,233.654000,0,0
6616632.593180,5696931.929748,-10223566.964083,293.654000,0,0
6430935.875138,5962645.433231,-10190219.592414,353.651000,0,0
6241444.471689,6224840.570388,-10150854.887988,413.651000,0,0
6048269.967223,6483362.400067,-10105495.722124,473.650000,0,0
5851526.099833,6738058.093480,-10054168.452781,533.650000,0,0
5651328.698050,6988777.020729,-9996902.910799,593.649000,0,0
5447795.616455,7235370.836248,-9933732.384321,653.646000,0,0
5241046.670214,7477693.563178,-9864693.601471,713.645000,0,0
5031203.568468,7715601.676491,-9789826.711096,773.644000,0,0
4818389.846710,7948954.184990,-9709175.261792,833.644000,0,0
4602730.798118,8177612.712028,-9622786.179081,893.643000,0,0
4384353.403868,8401441.574943,-9530709.740770,953.640000,0,0
4163386.262519,8620307.863243,-9432999.550603,1013.640000,0,0
3939959.518391,8834081.515333,-9329712.509993,1073.639000,0,0
3714204.789067,9042635.393925,-9220908.788076,1133.639000,0,0
3486255.091990,9245845.359981,-9106651.789936,1193.638000,0,0
3256244.770196,9443590.345164,-8987008.123058,1253.635000,0,0
3024309.417248,9635752.422860,-8862047.562095,1313.635000,0,0
2790585.801333,9822216.877527,-8731843.011771,1373.634000,0,0
2555211.788624,10002872.272555,-8596470.468132,1433.633000,0,0
2318326.265899,10177610.516445,-8456008.978031,1493.633000,0,0
2080069.062455,10346326.927310,-8310540.596875,1553.630000,0,0
1840580.871380,10508920.295759,-8160150.344748,1613.630000,0,0
1600003.170163,10665292.945907,-8004926.160719,1673.629000,0,0
1358478.140733,10815350.794699,-7844958.855571,1733.628000,0,0
1116148.588925,10959003.409374,-7680342.062812,1793.628000,0,0
873157.863433,11096164.063049,-7511172.188031,1853.626000,0,0
629649.774273,11226749.788505,-7337548.356687,1913.625000,0,0
385768.510796,11350681.429894,-7159572.360182,1973.625000,0,0
141658.559299,11467883.692593,-6977348.600412,2033.624000,0,0
-102535.379732,11578285.190998,-6790984.032703,2093.623000,0,0
-346668.474715,11681818.494250,-6600588.107183,2153.621000,0,0
-590595.846342,11778420.170000,-6406272.708671,2213.620000,0,0
-834172.651200,11868030.825891,-6208152.094966,2273.619000,0,0
-1077254.165592,11950595.149027,-6006342.833709,2333.619000,0,0
-1319695.869518,12026061.943192,-5800963.737754,2393.618000,0,0
-1561353.530760,12094384.163842,-5592135.799082,2453.615000,0,0
-1802083.289065,12155518.950956,-5379982.121358,2513.614000,0,0
-2041741.740316,12209427.659444,-5164627.851020,2573.613000,0,0
-2280186.020709,12256075.887376,-4946200.107076,2633.613000,0,0
-2517273.890847,12295433.501805,-4724827.909546,2693.612000,0,0
-2752863.819715,12327474.662204,-4500642.106600,2753.609000,0,0
-2986815.068520,12352177.841620,-4273775.300478,2813.608000,0,0
-3218987.774273,12369525.845231,-4044361.772126,2873.607000,0,0
-3449243.033146,12379505.826586,-3812537.404674,2933.607000,0,0
-3677442.983498,12382109.301311,-3578439.605753,2993.606000,0,0
-3903450.888540,12377332.158290,-3342207.228678,3053.603000,0,0
-4127131.218613,12365174.668442,-3103980.492589,3113.603000,0,0
-4348349.732963,12345641.490787,-2863900.901502,3173.602000,0,0
-4566973.561030,12318741.676083,-2622111.162408,3233.601000,0,0
-4782871.283160,12284488.667816,-2378755.102393,3293.601000,0,0
-4995913.010690,12242900.300581,-2133977.584845,3353.598000,0,0
-5205970.465401,12193998.795959,-1887924.424825,3413.597000,0,0
-5412917.058192,12137810.755601,-1640742.303574,3473.596000,0,0
-5616627.967020,12074367.151811,-1392578.682289,3533.595000,0,0
-5816980.213995,12003703.315413,-1143581.715145,3593.594000,0,0
-6013852.741583,11925858.920948,-893900.161662,3653.592000,0,0
-6207126.487925,11840877.969316,-643683.298444,3713.591000,0,0
-6396684.461096,11748808.767589,-393080.830336,3773.590000,0,0
-6582411.812385,11649703.906281,-142242.801077,3833.589000,0,0
-6764195.908452,11543620.233881,108680.496524,3893.589000,0,0
-6941926.402334,11430618.828707,359538.610814,3953.586000,0,0
-7115495.303315,11310764.968187,610181.021890,4013.585000,0,0
-7284797.045459,11184128.095329,860457.232478,4073.585000,0,0
-7449728.554914,11050781.782648,1110216.859062,4133.584000,0,0
-7610189.315835,10910803.693396,1359309.723200,4193.583000,0,0
-7766081.434894,10764275.540134,1607585.942951,4253.581000,0,0
-7917309.704410,10611283.040780,1854896.024393,4313.580000,0,0
-8063781.663876,10451915.871902,2101090.953120,4373.579000,0,0
-8205407.660028,10286267.619537,2346022.285704,4433.578000,0,0
