x,y,z,t,firing,detected_by_GS
-6731285.36,-964489.95,17037.19,0.000000,0,0
2032904.05,6451511.08,-5346.81,0.000000,0,0
-6695322.58,-1188953.89,16948.98,0.000000,0,0
-5752896.82,-6301777.01,14729.95,0.000000,0,0
1945260.40,6478575.90,-5130.00,0.000000,0,0
1945260.40,6478575.90,-5130.00,0.000000,0,0
-6695322.58,-1188953.89,16948.98,0.000000,0,0
1945260.40,6478575.90,-5130.00,0.000000,0,0
-6695322.58,-1188953.89,16948.98,0.000000,0,0
1945260.40,6478575.90,-5130.00,0.000000,0,0
-6695322.58,-1188953.89,16948.98,0.000000,0,0
-6695322.58,-1188953.89,16948.98,0.000000,0,0
-6695322.58,-1188953.89,16948.98,0.000000,0,0
-6695322.58,-1188953.89,16948.98,0.000000,0,0
-6719288.10,-607265.30,16985.95,0.000000,0,0
-6589331.74,-15336.07,16638.14,0.000000,0,0
-6736629.52,-566488.30,17027.57,0.000000,0,0
-6743701.86,-378606.28,17041.91,0.000000,0,0
-6709303.24,-657518.92,16963.36,0.000000,0,0
-6690603.46,-1062648.70,16937.56,0.000000,0,0
-6700706.79,-955541.76,16961.01,0.000000,0,0
-6691243.70,-1062891.86,16936.44,0.000000,0,0
-6721170.98,-955127.47,17008.64,0.000000,0,0
-6695322.58,-1188953.89,16948.98,0.000000,0,0
1970059.15,6470507.48,-5187.52,0.000000,0,0
1945260.40,6478575.90,-5130.00,0.000000,0,0
-2786532.24,6095047.27,6828.48,0.000000,0,0
-6731285.36,-964489.95,17037.19,0.000000,0,0
