name_sat,x,y,z,t,firing,detected_by_GS,nom_station
Sat_real_1,0.000000,6321479.405889,-4105216.726426,0.554000,0,false,
Sat_real_1,-434986.283876,6310897.071072,-4098328.446048,60.554000,0,false,
Sat_real_1,-868516.117515,6279184.836539,-4077686.289191,120.554000,0,false,
Sat_real_1,-1299137.690991,6226446.903909,-4043358.244248,180.554000,0,false,
Sat_real_1,-1725408.394381,6152856.606796,-3995457.409125,240.554000,0,false,
Sat_real_1,-2145899.388044,6058655.904122,-3934141.658218,300.554000,0,false,
Sat_real_1,-2559200.137796,5944154.664155,-3859613.171806,360.554000,0,false,
Sat_real_1,-2963922.919106,5809729.803563,-3772117.869936,420.554000,0,false,
Sat_real_1,-3358707.245822,5655824.149912,-3671944.666027,480.554000,0,false,
Sat_real_1,-3742224.254747,5482945.173559,-3559424.635349,540.554000,0,false,
Sat_real_1,-4113181.004465,5291663.494190,-3434930.037308,600.554000,0,false,
Sat_real_1,-4470324.686546,5082611.188632,-3298873.208990,660.554000,0,false,
Sat_real_1,-4812446.776077,4856479.953512,-3151705.365139,720.554000,0,false,
Sat_real_1,-5138387.024916,4614019.003707,-2993915.226321,780.554000,0,false,
Sat_real_1,-5447037.379720,4356032.836437,-2826027.559900,840.554000,0,false,
Sat_real_1,-5737345.742106,4083378.779434,-2648601.579897,900.554000,0,false,
Sat_real_1,-6008319.576182,3796964.352299,-2462229.224254,960.554000,0,false,
Sat_real_1,-6259029.387315,3497744.474416,-2267533.330671,1020.554000,0,false,
Sat_real_1,-6488611.972528,3186718.466681,-2065165.676570,1080.554000,0,false,
Sat_real_1,-6696273.517562,2864926.913928,-1855804.926501,1140.554000,0,false,
Sat_real_1,-6881292.447804,2533448.353650,-1640154.465048,1200.554000,0,false,
Sat_real_1,-7043022.106179,2193395.836843,-1418940.145243,1260.554000,0,false,
Sat_real_1,-7180893.194041,1845913.349014,-1192907.945430,1320.554000,0,false,
Sat_real_1,-7294415.943220,1492172.089530,-962821.534119,1380.554000,0,false,
Sat_real_1,-7383182.097139,1133366.650324,-729459.769815,1440.554000,0,false,
Sat_real_1,-7446866.579631,770711.072126,-493614.122148,1500.554000,0,false,
Sat_real_1,-7485228.950297,405434.807208,-256086.033368,1560.554000,0,false,
Sat_real_1,-7498114.570290,38778.592781,-17684.222828,1620.554000,0,false,
Sat_real_1,-7485455.440939,-328009.755671,220778.059867,1680.554000,0,false,
Sat_real_1,-7447270.804757,-693679.608019,458485.818206,1740.554000,0,false,
Sat_real_1,-7383667.379648,-1056981.824728,694625.119054,1800.554000,0,false,
Sat_real_1,-7294839.334587,-1416673.095476,928385.924969,1860.554000,0,false,
Sat_real_1,-7181067.937157,-1771520.284333,1158964.931175,1920.554000,0,false,
Sat_real_1,-7042720.844305,-2120304.761548,1385568.394132,1980.554000,0,false,
Sat_real_1,-6880251.135687,-2461826.721087,1607414.951211,2040.554000,0,false,
Sat_real_1,-6694195.970743,-2794909.438754,1823738.401443,2100.554000,0,false,
Sat_real_1,-6485174.982377,-3118403.490712,2033790.460143,2160.554000,0,false,
Sat_real_1,-6253888.347116,-3431190.890626,2236843.459628,2220.554000,0,false,
Sat_real_1,-6001114.509510,-3732189.119291,2432192.978692,2280.554000,0,false,
Sat_real_1,-5727707.661064,-4020355.069153,2619160.415411,2340.554000,0,false,
Sat_real_1,-5434594.872369,-4294688.829454,2797095.454790,2400.554000,0,false,
Sat_real_1,-5122772.984859,-4554237.357431,2965378.461014,2460.554000,0,false,
Sat_real_1,-4793305.221250,-4798097.979770,3123422.758184,2520.554000,0,false,
Sat_real_1,-4447317.505720,-5025421.694605,3270676.780506,2580.554000,0,false,
Sat_real_1,-4085994.586582,-5235416.322233,3406626.123510,2640.554000,0,false,
Sat_real_1,-3710575.887929,-5427349.410731,3530795.435263,2700.554000,0,false,
Sat_real_1,-3322351.179933,-5600550.969242,3642750.195193,2760.554000,0,false,
Sat_real_1,-2922656.043244,-5754415.966512,3742098.339654,2820.554000,0,false,
Sat_real_1,-2512867.125519,-5888406.563827,3828491.713851,2880.554000,0,false,
Sat_real_1,-2094397.263277,-6002054.146604,3901627.391991,2940.554000,0,false,
Sat_real_1,-1668690.435227,-6094961.065122,3961248.807004,3000.554000,0,false,
Sat_real_1,-1237216.597928,-6166802.130768,4007146.719898,3060.554000,0,false,
Sat_real_1,-801466.414345,-6217325.839540,4039160.010257,3120.554000,0,false,
Sat_real_1,-362945.895009,-6246355.283594,4057176.262357,3180.554000,0,false,
Sat_real_1,76829.011332,-6253788.832398,4061132.200070,3240.554000,0,false,
