name_sat,x,y,z
SAT_P1_S1,6928137.0,0.0,0.0
SAT_P1_S2,4.242260400552173E-10,4169456.929055563,5533056.226672521
SAT_P1_S3,-6928137.0,5.106112082350648E-10,6.776039597496834E-10
SAT_P1_S4,-1.272678120165652E-9,-4169456.929055563,-5533056.226672521
SAT_P2_S1,-4805399.131723038,4153738.5177361104,2766528.1133362604
SAT_P2_S2,-1395058.4467916745,-4805399.131723038,4791767.252866073
SAT_P2_S3,4805399.131723039,-4153738.517736109,-2766528.1133362614
SAT_P2_S4,1395058.4467916726,4805399.13172304,-4791767.252866073
SAT_P3_S1,1395058.4467916691,-4805399.131723041,4791767.252866073
SAT_P3_S2,4805399.131723042,4153738.517736107,2766528.1133362604
SAT_P3_S3,-1395058.4467916675,4805399.131723043,-4791767.252866072
SAT_P3_S4,-4805399.131723043,-4153738.5177361043,-2766528.113336263
