name_sat,x,y,z,t,firing,detected_by_GS,nom_station
SAT_1,-6849113.194600,-550934.160742,17842.657810,0.000000,0,false,
SAT_1,-6842093.573362,-544142.472515,322219.423049,40.000000,0,false,
SAT_1,-6821622.681639,-536364.504681,625960.127594,80.000000,0,false,
SAT_1,-6787735.688585,-527693.923743,928465.320943,120.000000,0,false,
SAT_1,-6740494.925826,-518225.884155,1229138.078619,160.000000,0,false,
SAT_1,-6679989.756995,-508056.681622,1527385.219602,200.000000,0,false,
SAT_1,-6606336.393813,-497283.405286,1822618.518126,240.000000,0,false,
SAT_1,-6519677.658733,-486003.589866,2114255.907141,280.000000,0,false,
SAT_1,-6420182.661176,-474314.866293,2401722.658443,320.000000,0,false,
SAT_1,-6308046.415159,-462314.614331,2684452.545268,360.000000,0,false,
SAT_1,-6183489.432915,-450099.620421,2961888.995509,400.000000,0,false,
SAT_1,-6046757.277802,-437765.739979,3233486.224428,440.000000,0,false,
SAT_1,-5898119.947073,-425407.557092,3498710.296301,480.000000,0,false,
SAT_1,-5737871.321069,-413118.058296,3757040.196651,520.000000,0,false,
SAT_1,-5566328.527555,-400988.311011,4007968.859864,560.000000,0,false,
SAT_1,-5383831.252039,-389107.149320,4251004.154314,600.000000,0,false,
SAT_1,-5190740.991896,-377560.867984,4485669.823047,640.000000,0,false,
SAT_1,-4987440.287570,-366432.927648,4711506.397770,680.000000,0,false,
SAT_1,-4774331.960154,-355803.673178,4928072.101127,720.000000,0,false,
SAT_1,-4551838.240885,-345750.058584,5134943.667317,760.000000,0,false,
SAT_1,-4320399.873333,-336345.384832,5331717.130029,800.000000,0,false,
SAT_1,-4080475.229063,-327659.052895,5518008.599740,840.000000,0,false,
SAT_1,-3832539.362508,-319756.328354,5693454.988214,880.000000,0,false,
SAT_1,-3577083.026827,-312698.118957,5857714.672699,920.000000,0,false,
SAT_1,-3314611.661342,-306540.766741,6010468.116879,960.000000,0,false,
SAT_1,-3045644.372130,-301335.856539,6151418.475491,1000.000000,0,false,
SAT_1,-2770712.898652,-297130.040309,6280292.165020,1040.000000,0,false,
SAT_1,-2490360.494394,-293964.872946,6396839.286954,1080.000000,0,false,
SAT_1,-2205140.858066,-291876.669249,6500834.103330,1120.000000,0,false,
SAT_1,-1915617.028286,-290896.376375,6592075.434671,1160.000000,0,false,
SAT_1,-1622360.265093,-291049.462940,6670387.000593,1200.000000,0,false,
SAT_1,-1325948.917162,-292355.824900,6735617.700396,1240.000000,0,false,
SAT_1,-1026967.288939,-294829.709909,6787641.866049,1280.000000,0,false,
SAT_1,-726004.520576,-298479.661303,6826359.515584,1320.000000,0,false,
SAT_1,-423653.434546,-303308.476358,6851696.489745,1360.000000,0,false,
SAT_1,-120509.380610,-309313.182786,6863604.554386,1400.000000,0,false,
SAT_1,182830.903906,-316485.034972,6862061.508114,1440.000000,0,false,
SAT_1,485770.451046,-324809.526655,6847071.221901,1480.000000,0,false,
SAT_1,787713.215774,-334266.420306,6818663.615824,1520.000000,0,false,
SAT_1,1088065.229686,-344829.793917,6776894.591591,1560.000000,0,false,
SAT_1,1386235.756026,-356468.106580,6721845.953315,1600.000000,0,false,
SAT_1,1681638.441565,-369144.281931,6653625.298003,1640.000000,0,false,
SAT_1,1973692.451345,-382815.803643,6572365.744806,1680.000000,0,false,
SAT_1,2261823.604290,-397434.832911,6478225.734509,1720.000000,0,false,
SAT_1,2545465.498458,-412948.341491,6371388.746606,1760.000000,0,false,
SAT_1,2824060.617786,-429298.260769,6252062.962288,1800.000000,0,false,
SAT_1,3097061.418736,-446421.646366,6120480.869106,1840.000000,0,false,
SAT_1,3363931.407057,-464250.860029,5976898.838012,1880.000000,0,true,Paris
SAT_1,3624146.212808,-482713.770487,5821596.699531,1920.000000,0,true,Paris
SAT_1,3877194.617615,-501733.964995,5654877.205815,1960.000000,0,true,Paris
SAT_1,4122579.564447,-521230.976297,5477065.456952,2000.000000,0,true,Paris
SAT_1,4359819.163091,-541120.527413,5288508.330046,2040.000000,0,true,Paris
SAT_1,4588447.664430,-561314.788734,5089573.839129,2080.000000,0,true,Paris
SAT_1,4808016.392070,-581722.646579,4880650.440276,2120.000000,0,true,Paris
SAT_1,5018094.645151,-602249.983943,4662146.294838,2160.000000,0,true,Paris
SAT_1,5218270.593437,-622799.975625,4434488.515353,2200.000000,0,true,Paris
SAT_1,5408152.148749,-643273.395670,4198122.382751,2240.000000,0,true,Paris
SAT_1,5587367.717859,-663568.924129,3953510.442047,2280.000000,0,false,
SAT_1,5755566.998346,-683583.472945,3701131.644481,2320.000000,0,false,
SAT_1,5912421.711268,-703212.516888,3441480.424855,2360.000000,0,false,
SAT_1,6057626.280377,-722350.430551,3175065.740978,2400.000000,0,false,
SAT_1,6190898.453235,-740890.829870,2902410.073136,2440.000000,0,false,
SAT_1,6311979.892354,-758726.920648,2624048.401168,2480.000000,0,false,
SAT_1,6420636.760136,-775751.856714,2340527.174931,2520.000000,0,false,
SAT_1,6516660.183552,-791859.093101,2052403.220513,2560.000000,0,false,
SAT_1,6599866.675227,-806942.742078,1760242.624483,2600.000000,0,false,
SAT_1,6670098.547286,-820897.936229,1464619.618558,2640.000000,0,false,
SAT_1,6727224.247229,-833621.188840,1166115.427634,2680.000000,0,false,
SAT_1,6771138.617324,-845010.750854,865317.099291,2720.000000,0,false,
SAT_1,6801763.097306,-854966.965473,562816.317979,2760.000000,0,false,
SAT_1,6819045.903678,-863392.623833,259208.211769,2800.000000,0,false,
SAT_1,6822962.165806,-870193.318807,-44909.846713,2840.000000,0,false,
SAT_1,6813513.883254,-875277.777400,-348939.460642,2880.000000,0,false,
SAT_1,6790729.944247,-878558.202164,-652282.414477,2920.000000,0,false,
SAT_1,6754666.048254,-879950.600145,-954341.887296,2960.000000,0,false,
SAT_1,6705404.558915,-879375.101855,-1254523.658545,3000.000000,0,false,
SAT_1,6643054.283465,-876756.268400,-1552237.304497,3040.000000,0,false,
SAT_1,6567750.213911,-872023.390263,-1846897.387537,3080.000000,0,false,
SAT_1,6479653.260472,-865110.781462,-2137924.639327,3120.000000,0,false,
SAT_1,6378949.849095,-855958.050574,-2424747.116139,3160.000000,0,false,
SAT_1,6265851.474084,-844510.359301,-2706801.338380,3200.000000,0,false,
SAT_1,6140594.250768,-830718.674539,-2983533.417813,3240.000000,0,false,
SAT_1,6003438.388562,-814540.001780,-3254400.160557,3280.000000,0,false,
