name,lat1,long1,alt1,lat2,long2,alt2,lat3,long3,alt3,lat4,long4,alt4
Amazon_Rainforest,-3.00,300.00,0,-5.00,300.00,0,-5.00,303.00,0,-3.00,303.00,0
Sahara_Desert,23.00,10.00,0,20.00,10.00,0,20.00,13.00,0,23.00,13.00,0
Australian_Outback,-25.00,133.00,0,-28.00,133.00,0,-28.00,136.00,0,-25.00,136.00,0
Himalayas,30.00,80.00,0,28.00,80.00,0,28.00,83.00,0,30.00,83.00,0
Greenland_Ice,72.00,310.00,0,70.00,310.00,0,70.00,315.00,0,72.00,315.00,0
Gulf_of_Mexico,25.00,270.00,0,22.00,270.00,0,22.00,273.00,0,25.00,273.00,0
Japan_Region,36.00,138.00,0,34.00,138.00,0,34.00,141.00,0,36.00,141.00,0
South_Africa, -30.00, 20.00,0,-33.00,20.00,0,-33.00,23.00,0,-30.00,23.00,0
Antarctica_Peninsula,-63.00,300.00,0,-65.00,300.00,0,-65.00,303.00,0,-63.00,303.00,0
Alaska_Region,65.00,200.00,0,62.00,200.00,0,62.00,205.00,0,65.00,205.00,0
