GS_name,start_time,end_time,duration_s,name_sat_doing_observation,total_data_downlinkable(MB)
Paris,2026-09-03T13:30:01.202951387564780832Z,2026-09-03T13:38:22.176983249465024544Z,500.97403186190024,SAT_P2_S1,5260.23
Paris,2026-09-03T15:10:03.187554202919272928Z,2026-09-03T15:18:11.411938729743269504Z,488.224384526824,SAT_P2_S1,4394.02
Paris,2026-09-03T16:49:45.751803133111025088Z,2026-09-03T16:58:08.956374999250328984Z,503.2045718661393,SAT_P2_S1,4528.84
Paris,2026-09-03T18:29:41.136500381537189248Z,2026-09-03T18:36:37.011700816594384378Z,415.8752004350572,SAT_P2_S1,4366.69
Paris,2026-09-03T14:45:08.969677708621929924Z,2026-09-03T14:53:18.457327429307952128Z,489.487649720686,SAT_P2_S2,5139.62
Paris,2026-09-03T16:25:05.84985409330693072Z,2026-09-03T16:33:28.121091214910848064Z,502.2712371216039,SAT_P2_S2,4520.44
Paris,2026-09-03T18:04:56.517850287520559488Z,2026-09-03T18:12:40.132363392112893056Z,463.61451310459233,SAT_P2_S2,4172.53
Paris,2026-09-03T14:20:03.988800610221460374Z,2026-09-03T14:28:10.23449704854920128Z,486.24569643832774,SAT_P2_S3,4376.21
Paris,2026-09-03T15:59:58.411690179687866496Z,2026-09-03T16:08:10.611164510379239808Z,492.1994743306914,SAT_P2_S3,4429.80
Paris,2026-09-03T17:39:35.559484279414391488Z,2026-09-03T17:47:40.489762858751419136Z,484.930278579337,SAT_P2_S3,5091.77
Paris,2026-09-03T19:21:02.099449775905668496Z,2026-09-03T19:23:46.149107060646201728Z,164.04965728474053,SAT_P2_S3,1476.45
Paris,2026-09-03T13:55:01.136330687128065616Z,2026-09-03T14:03:19.216356585723133312Z,498.08002589859507,SAT_P2_S4,5229.84
Paris,2026-09-03T15:35:09.163496225042763392Z,2026-09-03T15:43:23.501726137019431936Z,494.33822991197667,SAT_P2_S4,4449.04
Paris,2026-09-03T17:14:55.312015832165343424Z,2026-09-03T17:23:19.43145084857314944Z,504.1194350164078,SAT_P2_S4,5293.25
Paris,2026-09-03T18:55:23.924500470577186208Z,2026-09-03T19:01:05.427353436927660352Z,341.5028529663505,SAT_P2_S4,3073.53
Paris,2026-09-03T19:40:58.271694258117349824Z,2026-09-03T19:48:46.3146715128896176Z,468.04297725477227,SAT_P3_S1,4212.39
Paris,2026-09-03T21:20:13.266346268283086816Z,2026-09-03T21:28:34.38626609114726304Z,501.1199198228642,SAT_P3_S1,5261.76
Paris,2026-09-03T23:00:23.804047634759626816Z,2026-09-03T23:08:30.95628222180675948Z,487.15223458704713,SAT_P3_S1,5115.10
Paris,2026-09-03T19:16:05.883870346366165904Z,2026-09-03T19:23:06.958495700706407664Z,421.07462535434024,SAT_P3_S2,3789.67
Paris,2026-09-03T20:54:36.328154523114790208Z,2026-09-03T21:02:59.500003331686457408Z,503.17184880857167,SAT_P3_S2,5283.30
Paris,2026-09-03T22:34:35.135510640684515232Z,2026-09-03T22:42:41.079668606798804832Z,485.9441579661143,SAT_P3_S2,4373.50
Paris,2026-09-03T18:52:28.72344756648089968Z,2026-09-03T18:58:21.920688484875427088Z,353.1972409183945,SAT_P3_S3,3178.78
Paris,2026-09-03T20:30:20.022057905658584788Z,2026-09-03T20:38:45.27405020970763872Z,505.25199230404905,SAT_P3_S3,4547.27
Paris,2026-09-03T22:10:17.823657590666698528Z,2026-09-03T22:18:30.013167207111109746Z,492.1895096164444,SAT_P3_S3,5167.99
Paris,2026-09-03T18:28:48.981616266904893564Z,2026-09-03T18:31:53.152187771385797536Z,184.1705715044809,SAT_P3_S4,1657.54
Paris,2026-09-03T20:05:03.232836404138652128Z,2026-09-03T20:13:10.309550184196268672Z,487.0767137800576,SAT_P3_S4,5114.31
Paris,2026-09-03T21:44:34.86721062499054824Z,2026-09-03T21:52:45.657091359262267392Z,490.7898807342717,SAT_P3_S4,4417.11
Paris,2026-09-03T14:20:03.84015789121667696Z,2026-09-03T14:28:10.596925867749632768Z,486.75676797653296,SAT_P2_S3,4380.81
Paris,2026-09-03T16:00:00.892928856317666944Z,2026-09-03T16:08:15.472340557333154752Z,494.5794117010155,SAT_P2_S3,4451.21
Paris,2026-09-03T17:39:42.401726400399638784Z,2026-09-03T17:47:49.616747117966951936Z,487.2150207175673,SAT_P2_S3,5115.76
Paris,2026-09-03T19:21:12.430427786359359744Z,2026-09-03T19:24:00.175139004568336544Z,167.74471121820898,SAT_P2_S3,1509.70
