OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1008,2019-074B,2025-11-24T05:07:14.596032,15.06411664,.00014684,53.0556,300.1163,99.2377,260.8778,0,U,44714,999,33285,.96250111E-4,.1153E-4,0
STARLINK-1011,2019-074E,2025-11-24T07:55:51.660192,16.03630020,.0002636,53.0442,267.1118,102.1769,257.9557,0,U,44717,999,33332,.86868E-3,.561174E-2,.15752E-3
STARLINK-1012,2019-074F,2025-11-24T04:35:24.454464,15.06400427,.00014613,53.0552,300.2191,82.1303,277.9852,0,U,44718,999,33284,.75163533E-4,.838E-5,0
STARLINK-1017,2019-074L,2025-11-24T06:45:43.028064,15.16795713,.0004965,53.0522,294.8317,32.7143,327.4157,0,U,44723,999,33293,.23897E-2,.47528E-3,0
STARLINK-1019,2019-074M,2025-11-24T08:39:24.531840,15.52758294,.0001898,53.0542,294.2559,101.1036,259.0187,0,U,44724,999,33294,.24426E-2,.156255E-2,0
STARLINK-1020,2019-074N,2025-11-24T06:13:36.087744,15.06400175,.000184,53.0561,319.9165,87.8823,272.2377,0,U,44725,999,33257,.1389E-3,.1788E-4,0
STARLINK-1031,2019-074Z,2025-11-24T14:00:01.999008,15.53410206,.0007506,53.0491,280.2738,32.4397,334.9298,0,U,44736,999,586,.22003E-2,.143977E-2,0
STARLINK-1036,2019-074AE,2025-11-24T08:31:35.314176,15.06399067,.0001663,53.0550,319.4760,96.3472,263.7707,0,U,44741,999,33259,.62575E-4,.651E-5,0
STARLINK-1039,2019-074AH,2025-11-24T07:19:51.580704,15.14597314,.0001236,53.0518,336.4389,319.1650,40.9249,0,U,44744,999,33235,.21769E-2,.40588E-3,0
STARLINK-1042,2019-074AL,2025-11-24T03:45:44.513280,15.44391647,.00033708,53.0458,238.9928,138.7534,221.3727,0,U,44747,999,33373,.50297261E-3,.23251E-3,0
STARLINK-1043,2019-074AM,2025-11-24T14:00:01.999008,15.31522290,.0001274,53.0570,337.3889,86.9023,51.7381,0,U,44748,999,583,.54855E-1,.186085E-1,0
STARLINK-1046,2019-074AQ,2025-11-24T09:48:34.081056,15.06401570,.0001546,53.0549,339.2414,102.1694,257.9468,0,U,44751,999,33232,.4431E-3,.6325E-4,0
STARLINK-1047,2019-074AR,2025-11-24T03:37:54.949152,15.29905245,.00012802,53.0710,278.0299,220.4957,139.5948,0,U,44752,999,33317,.44036175E-3,.12589E-3,0
STARLINK-1048,2019-074AS,2025-11-24T07:14:37.209120,15.06406464,.0001581,53.0543,299.7184,106.2062,253.9101,0,U,44753,999,33286,.43132E-4,.361E-5,0
STARLINK-1053,2019-074AX,2025-11-24T02:01:07.954176,15.64158854,.00052977,53.0392,249.5986,106.0573,254.1025,0,U,44758,999,33356,.74015986E-3,.71747E-3,0
STARLINK-1060,2019-074BE,2025-11-24T14:00:01.999008,15.69611701,.00081,53.0515,292.6986,68.2722,38.3713,0,U,44765,999,595,.13129E-2,.161186E-2,0
STARLINK-1063,2019-074BH,2025-11-24T11:08:10.731840,15.06428172,.0001354,53.0548,338.9957,74.2534,285.8604,0,U,44768,999,33234,.58377E-3,.8431E-4,0
STARLINK-1067,2019-074BL,2025-11-24T07:41:11.653728,15.06409797,.0001419,53.0547,339.6417,96.6927,263.4224,0,U,44771,999,33231,.69819E-3,.10136E-3,0
STARLINK-1068,2019-074BM,2025-11-24T09:03:24.735168,15.06425234,.0001464,53.0540,319.3813,102.8321,257.2832,0,U,44772,999,33259,.52451E-3,.7545E-4,0
STARLINK-1112,2020-001M,2025-11-24T11:26:50.182080,15.58998773,.0003119,53.0499,48.1790,305.9577,54.1146,0,U,44925,999,32470,.16418E-2,.131754E-2,0
STARLINK-1114,2020-001P,2025-11-24T09:59:10.042944,15.06403827,.0001161,53.0544,99.2104,92.3280,267.7841,0,U,44927,999,32398,.14467E-3,.1874E-4,0
STARLINK-1123,2020-001S,2025-11-24T08:44:51.731232,15.06403151,.0001392,53.0551,99.4430,76.2533,283.8611,0,U,44930,999,32397,.74729E-4,.832E-5,0
STARLINK-1144,2020-001V,2025-11-24T10:13:23.718144,15.67327705,.0003331,53.0431,24.1338,163.4902,196.6222,0,U,44933,999,32633,.12521E-2,.139371E-2,0
STARLINK-1094,2020-001AD,2025-11-23T15:32:30.506784,15.06394777,.00012582,53.0549,82.6609,83.4287,276.6846,0,U,44941,999,32414,.75991532E-4,.851E-5,0
