x,y,z,t,firing
-8383919.327366,3317055.071231,9860376.570694,-4.979000,0
-8565792.008756,3053127.987980,9791227.387819,54.983000,0
-8742516.795818,2787366.010826,9716189.492595,114.981000,0
-8913989.287696,2519929.434413,9635310.026675,174.978000,0
-9080108.316512,2250979.450762,9548639.617480,234.975000,0
-9240776.004162,1980678.050712,9456232.342943,294.936000,1
-9395622.991480,1709665.730478,9358316.784810,354.933000,1
-9544294.433811,1438589.846943,9255139.552482,414.932000,1
-9686719.937579,1167622.802913,9146786.688618,474.930000,1
-9822833.362851,896936.346025,9033347.272688,534.928000,1
-9952572.781067,626701.455056,8914913.289359,594.897000,1
-10075880.427016,357088.235029,8791579.499440,654.874000,0
-10192923.402584,87762.219984,8663204.876783,714.872000,0
-10303859.341711,-181616.385821,8529635.919133,774.870000,0
-10408621.769351,-450886.183568,8390952.707593,834.868000,0
-10507147.431730,-719885.818542,8247238.004565,894.866000,0
-10599376.320979,-988454.039821,8098577.224162,954.853000,0
-10685251.699750,-1256429.760045,7945058.402514,1014.851000,0
-10764720.125650,-1523652.115346,7786772.167797,1074.850000,0
-10837731.475692,-1789960.525480,7623811.710103,1134.849000,0
-10904238.970648,-2055194.754200,7456272.751016,1194.848000,0
-10964199.199336,-2319194.969945,7284253.512881,1254.839000,0
-11017572.142931,-2581801.806876,7107854.687781,1314.838000,0
-11064321.199123,-2842856.426307,6927179.406062,1374.837000,0
-11104413.206293,-3102200.578598,6742333.204485,1434.835000,0
-11137818.467601,-3359676.665532,6553423.993881,1494.833000,0
-11164510.774976,-3615127.803234,6360562.026286,1554.824000,0
-11184467.433105,-3868397.885701,6163859.861533,1614.823000,0
-11197669.283204,-4119331.648926,5963432.333185,1674.822000,0
-11204100.726751,-4367774.735726,5759396.513822,1734.820000,0
-11203749.749040,-4613573.761267,5551871.679594,1794.819000,0
-11196607.942539,-4856576.379332,5340979.273980,1854.803000,0
-11182670.530123,-5096631.349429,5126842.870736,1914.801000,0
-11161936.387959,-5333588.604651,4909588.135911,1974.800000,0
-11134408.068201,-5567299.320454,4689342.788923,2034.799000,0
-11100091.821325,-5797615.984291,4466236.562613,2094.798000,0
-11058997.618094,-6024392.466158,4240401.162214,2154.789000,0
-11011139.171182,-6247484.090145,4011970.223188,2214.788000,0
-10956533.956227,-6466747.706859,3781079.267835,2274.787000,0
-10895203.232456,-6682041.766913,3547865.660646,2334.786000,0
-10827172.062678,-6893226.395377,3312468.562313,2394.785000,0
-10752469.332641,-7100163.467247,3075028.882331,2454.775000,0
-10671127.769735,-7302716.684007,2835689.230139,2514.774000,0
-10583183.960817,-7500751.651126,2594593.864721,2574.772000,0
-10488678.369263,-7694135.956678,2351888.642600,2634.771000,0
-10387655.351044,-7882739.250971,2107720.964171,2694.769000,0
-10280163.169774,-8066433.327184,1862239.718305,2754.759000,0
-10166254.010728,-8245092.203132,1615595.225127,2814.756000,0
-10045983.993556,-8418592.203903,1367939.176969,2874.755000,0
-9919413.183805,-8586812.045611,1119424.577356,2934.754000,0
-9786605.603002,-8749632.920060,870205.678031,2994.753000,0
-9647629.237258,-8906938.580340,620437.913919,3054.745000,0
-9502556.044334,-9058615.427441,370277.835950,3114.743000,0
-9351461.958926,-9204552.597587,119883.041765,3174.742000,0
-9194426.896212,-9344642.050520,-130587.895852,3234.741000,0
-9031534.753442,-9478778.658505,-380975.502796,3294.740000,0
-8862873.409488,-9606860.296044,-631119.479788,3354.727000,0
-8688534.722279,-9728787.930352,-880858.780954,3414.725000,0
-8508614.523890,-9844465.712269,-1130031.694747,3474.724000,0
-8323212.613279,-9953801.067810,-1378475.927397,3534.723000,0
-8132432.746461,-10056704.790078,-1626028.688832,3594.722000,0
