x,y,z,t
1286070.315999,-1303410.303950,6833531.721085,-2.712000
965081.691585,-1619036.380974,6819343.535239,57.286000
640202.613520,-1928136.131462,6777592.785631,117.286000
312743.249561,-2229464.517968,6708452.037264,177.285000
-15976.207284,-2521808.057551,6612204.165621,237.284000
-344630.841993,-2803989.674638,6489241.195886,297.283000
-671896.337700,-3074873.405420,6340062.700977,357.281000
-996454.284791,-3333368.932819,6165273.770717,417.280000
-1316997.455289,-3578435.937245,5965582.570129,477.278000
-1632235.025273,-3809088.253972,5741797.504752,537.277000
-1940897.733471,-4024397.830603,5494824.006155,597.276000
-2241742.966334,-4223498.476605,5225660.944002,657.274000
-2533559.758012,-4405589.392055,4935396.665946,717.274000
-2815173.688762,-4569938.456772,4625204.665988,777.272000
-3085451.659903,-4715885.256874,4296338.886368,837.272000
-3343306.519805,-4842843.825118,3950128.665821,897.270000
-3587701.514953,-4950305.074551,3587973.354998,957.269000
-3817654.542539,-5037838.910364,3211336.625065,1017.268000
-4032242.184578,-5105096.010157,2821740.496693,1077.266000
-4230603.506166,-5151809.266091,2420759.114676,1137.265000
-4411943.600760,-5177794.882806,2010012.290772,1197.264000
-4575536.863447,-5182953.123597,1591158.836842,1257.263000
-4720729.970494,-5167268.695944,1165889.713548,1317.263000
-4846944.542303,-5130810.768163,735921.026266,1377.261000
-4953679.468927,-5073732.612597,302986.907285,1437.260000
-5040512.882773,-4996270.876794,-131167.671386,1497.258000
-5107103.770841,-4898744.490705,-564794.109333,1557.257000
-5153193.226300,-4781553.222863,-996147.371650,1617.256000
-5178605.344095,-4645175.900326,-1423493.130632,1677.255000
-5183247.766417,-4490168.305958,-1845114.827070,1737.255000
-5167111.881665,-4317160.763807,-2259320.626650,1797.253000
-5130272.677089,-4126855.421389,-2664450.246384,1857.252000
-5072888.243266,-3920023.238306,-3058881.622168,1917.252000
-4995198.929445,-3697500.694501,-3441037.383876,1977.252000
-4897526.153796,-3460186.237752,-3809391.102212,2037.252000
-4780270.879282,-3209036.495881,-4162473.273936,2097.252000
-4643911.772697,-2945062.282788,-4498877.018949,2157.250000
-4489003.068442,-2669324.427017,-4817263.472143,2217.250000
-4316172.158636,-2382929.447319,-5116366.861606,2277.248000
-4126116.927791,-2087025.093707,-5394999.269617,2337.247000
-3919602.845297,-1782795.767167,-5652055.072803,2397.245000
-3697459.825085,-1471457.828911,-5886515.053771,2457.244000
-3460578.860845,-1154254.811559,-6097450.171289,2517.243000
-3209908.447739,-832452.548973,-6284024.973001,2577.242000
-2946450.806234,-507334.246377,-6445500.635996,2637.241000
-2671257.928369,-180195.515230,-6581237.626390,2697.240000
-2385427.469054,147660.603416,-6690697.977475,2757.239000
-2090098.503667,474928.607881,-6773447.193675,2817.238000
-1786447.168666,800305.484350,-6829155.791453,2877.237000
-1475682.195983,1122495.628149,-6857600.487076,2937.237000
-1159040.347009,1440215.734187,-6858665.035582,2997.236000
-837781.749933,1752199.652361,-6832340.717887,3057.235000
-513185.145590,2057203.199874,-6778726.467146,3117.235000
-186543.050907,2354008.917373,-6698028.623301,3177.234000
140843.146521,2641430.751701,-6590560.306989,3237.233000
467668.146100,2918318.646619,-6456740.408953,3297.232000
792627.727035,3183563.024159,-6297092.196333,3357.231000
1114423.760772,3436099.142240,-6112241.540170,3417.231000
1431769.230108,3674911.316847,-5902914.768087,3477.230000
1743393.243542,3899036.997849,-5669936.143019,3537.229000
2048046.032652,4107570.685743,-5414224.965289,3597.229000
