x,y,z,t
-3545966.303433,3528626.315483,5002492.414968,-7.181000
-3856927.053076,3202973.556060,4992077.035965,52.797000
-4152295.515020,2864371.656309,4961426.935778,112.795000
-4430879.895016,2514191.249300,4910669.232719,172.775000
-4691556.385291,2153849.242954,4840012.248524,232.774000
-4933273.630142,1784803.114545,4749744.628931,292.748000
-5155056.900546,1408545.057955,4640234.153992,352.735000
-5356011.968885,1026596.004256,4511926.244996,412.733000
-5535328.674715,640499.533718,4365342.172905,472.720000
-5692284.170578,251815.696567,4201076.971667,532.719000
-5826245.834289,-137885.239016,4019797.059318,592.707000
-5936673.832308,-527029.090553,3822237.571094,652.698000
-6023123.318621,-914044.092384,3609199.411425,712.696000
-6085246.255398,-1297367.227697,3381546.034970,772.686000
-6122792.844865,-1675450.533956,3140199.969856,832.684000
-6135612.565403,-2046767.354809,2886139.098117,892.674000
-6123654.807788,-2409818.513094,2620392.708852,952.662000
-6086969.108982,-2763138.381074,2344037.339190,1012.660000
-6025704.981138,-3105300.824727,2058192.417439,1072.650000
-5940111.333053,-3434924.998326,1764015.722901,1132.648000
-5830535.481321,-3750680.963885,1462698.678080,1192.635000
-5697421.749734,-4051295.108223,1155461.491608,1252.624000
-5541309.658539,-4335555.329375,843548.173509,1312.623000
-5362831.709585,-4602315.964604,528221.447467,1372.613000
-5162710.778367,-4850502.434768,210757.586715,1432.611000
-4941757.128353,-5079115.583657,-107558.799616,1492.602000
-4700865.065824,-5287235.695216,-425440.004190,1552.592000
-4441009.254509,-5474026.175327,-741600.460097,1612.591000
-4163240.708688,-5638736.887136,-1054761.959836,1672.583000
-3868682.482424,-5780707.129623,-1363658.835636,1732.581000
-3558525.071656,-5899368.247856,-1667043.081983,1792.573000
-3234021.545881,-5994245.865457,-1963689.402530,1852.557000
-2896482.432236,-6064961.725307,-2252400.155740,1912.555000
-2547270.364939,-6111235.129794,-2532010.183777,1972.544000
-2187794.536998,-6132883.975731,-2801391.494492,2032.542000
-1819504.972419,-6129825.377927,-3059457.778376,2092.530000
-1443886.651058,-6102075.886269,-3305168.740100,2152.521000
-1062453.513127,-6049751.299882,-3537534.227106,2212.520000
-676742.370786,-5973066.086180,-3755618.140773,2272.512000
-288306.750209,-5872332.413194,-3958542.119370,2332.511000
101289.311643,-5747958.803132,-4145488.981552,2392.502000
490477.493140,-5600448.415169,-4315705.920838,2452.485000
877691.414168,-5430396.965673,-4468507.441452,2512.483000
1261372.839134,-5238490.295160,-4603278.026339,2572.467000
1639977.833402,-5025501.592999,-4719474.529074,2632.460000
2011982.850335,-4792288.292860,-4816628.282765,2692.459000
2375890.727402,-4539788.653411,-4894346.920760,2752.454000
2730236.571512,-4269018.039455,-4952315.905444,2812.452000
3073593.515712,-3981064.918626,-4990299.762520,2872.445000
3404578.330499,-3677086.587992,-5008143.018550,2932.436000
3721856.873455,-3358304.644238,-5005770.839456,2992.435000
4024149.360490,-3026000.210854,-4983189.367508,3052.428000
4310235.441312,-2681508.936254,-4940485.754390,3112.426000
4578959.061117,-2326215.777894,-4877827.888516,3172.417000
4829233.090499,-1961549.588820,-4795463.815847,3232.411000
5060043.706237,-1588977.524199,-4693720.854725,3292.410000
5270454.506709,-1209999.285980,-4573004.406392,3352.404000
5459610.346628,-826141.223835,-4433796.463459,3412.404000
5626740.876387,-438950.310378,-4276653.818744,3472.397000
5771163.770857,-49988.008875,-4102205.976716,3532.387000
5892287.631682,339175.947455,-3911152.769722,3592.386000
