x,y,z,t,firing,detected_by_GS
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
9817232.344917,6323208.710355,4646379.376307,9360.000000,0,1
10006015.935173,6341560.343142,4547029.241110,9420.000000,0,1
10085884.626321,6417750.908369,4549991.226195,9480.000000,0,1
10088708.833085,6523438.134884,4618971.465625,9540.000000,0,1
10033980.467819,6644535.323427,4733012.212148,9600.000000,0,1
9933661.151721,6772739.002392,4879600.274169,9660.000000,0,1
9797707.626152,6904855.920320,5048030.495999,9720.000000,0,1
9633595.753738,7038944.907297,5232725.933881,9780.000000,0,1
9446628.504322,7172228.662414,5428009.526742,9840.000000,0,1
9240794.988622,7303887.166937,5630610.614064,9900.000000,0,1
9019936.203644,7433096.507538,5836873.012357,9960.000000,0,1
8787320.070116,7558652.887884,6045290.212082,10020.000000,0,1
8544778.695879,7680100.924077,6253877.358199,10080.000000,0,1
8293070.223161,7797210.837379,6460099.472599,10140.000000,0,1
8033988.005871,7908939.757785,6664352.713288,10200.000000,0,1
7768248.911318,8014973.343390,6864359.611603,10260.000000,0,1
7497384.322025,8115659.560453,7060165.200402,10320.000000,0,1
7221501.063635,8210076.973982,7251350.049487,10380.000000,0,1
6941135.174616,8298589.600852,7437266.153486,10440.000000,0,1
6656824.848265,8381077.359304,7617895.195090,10500.000000,0,1
6409363.805323,8381593.106491,7702185.722036,10560.000000,0,0
6157775.123480,8376722.016303,7781523.915846,10620.000000,0,0
5819866.139140,8523802.581436,8041745.514834,10680.000000,0,1
5504242.410793,8614081.867987,8237599.777439,10740.000000,0,1
5194893.505922,8680477.480410,8406516.793416,10800.000000,0,1
4886832.955772,8733040.528230,8560722.549224,10860.000000,0,1
4578427.635424,8776821.988932,8705294.686176,10920.000000,0,1
4267780.888390,8812997.230590,8840751.312793,10980.000000,0,1
3955567.164944,8842659.216197,8969220.207519,11040.000000,0,1
3642276.987551,8864919.045327,9091015.576571,11100.000000,0,1
3326825.345338,8881185.474810,9205751.063667,11160.000000,0,1
3009626.678955,8891574.155392,9313769.011387,11220.000000,0,1
2690596.924580,8894732.311433,9416053.768913,11280.000000,0,1
2370850.953126,8892412.225586,9511802.467102,11340.000000,0,1
2049641.323163,8884057.140431,9600644.621030,11400.000000,0,1
1727733.387075,8870327.471127,9683728.996775,11460.000000,0,1
1405109.761014,8850367.314848,9759836.603052,11520.000000,0,1
1082209.962806,8825336.547991,9829667.262857,11580.000000,0,1
758361.750216,8793987.830544,9893087.238293,11640.000000,0,1
434084.945274,8756635.719192,9950160.970877,11700.000000,0,1
110348.308402,8714326.500006,10001189.251648,11760.000000,0,1
-213517.888080,8666167.753253,10045302.603939,11820.000000,0,1
-537579.907220,8612786.613242,10082800.417790,11880.000000,0,1
-860715.841344,8554172.240698,10114929.522344,11940.000000,0,1
-1183231.070427,8489359.252661,10140429.876935,12000.000000,0,1
-1505161.443677,8420242.826044,10159122.406675,12060.000000,0,1
-1825531.669143,8345449.303726,10171214.584697,12120.000000,0,1
-2145580.020533,8264839.821893,10177052.469630,12180.000000,0,1
-2463948.514056,8179180.503001,10176771.639613,12240.000000,0,1
-2781309.946782,8088514.207158,10170690.300821,12300.000000,0,1
-3095884.952201,7993590.425831,10157362.035020,12360.000000,0,1
-3409508.316751,7893362.914194,10138156.456881,12420.000000,0,1
-3720468.561345,7787799.535138,10112478.515755,12480.000000,0,1
-4028652.362051,7677852.119717,10080838.867997,12540.000000,0,1
-4334561.315042,7562732.022374,10042586.702062,12600.000000,0,1
-4637615.091492,7442900.095439,9998177.066536,12660.000000,0,1
-4938409.358183,7318583.657844,9947760.822876,12720.000000,0,1
-5236603.905267,7189407.735166,9891429.004266,12780.000000,0,1
-5531077.893960,7056706.362126,9829211.099937,12840.000000,0,1
-5821781.996747,6918861.938839,9760091.942376,12900.000000,0,1
-6108880.885339,6777813.033999,9686176.152032,12960.000000,0,1
-6392534.122542,6631735.726754,9605409.839977,13020.000000,0,1
-6672105.314535,6481316.148753,9518726.273072,13080.000000,0,1
-6947947.572454,6327282.540680,9426531.943190,13140.000000,0,1
-7218934.920818,6169166.660021,9328205.502535,13200.000000,0,1
-7485874.953744,6007927.041793,9224836.861431,13260.000000,0,1
