x,y,z,t,firing,detected_by_GS
12382958.339426,4744172.066578,1652235.033197,8757.161000,0,1
5673219.632250,8760163.807793,8294825.724830,10677.161000,0,1
13108721.208156,1677900.217922,-2101686.034877,7857.161000,0,1
9572789.017636,7401921.381833,5594210.061887,9777.161000,0,1
405535.827110,8776854.038520,9992737.314297,11697.161000,0,1
12581303.601376,4399685.504867,1182490.422406,8637.161000,0,1
6240062.159450,8665573.649248,7992926.792666,10557.161000,0,1
10000629.661418,7148402.062690,5167514.693632,9657.161000,0,1
1056150.807654,8839181.971710,9884146.562119,11577.161000,0,1
12749771.771338,3993676.896057,670720.812240,8517.161000,0,1
6832948.097323,8468169.603779,7675873.662724,10437.161000,0,1
10401518.021367,6885400.274604,4731314.879222,9537.161000,0,1
1663608.464811,8957403.947975,9728307.699798,11457.161000,0,1
12887972.500610,3594259.219787,170045.367801,8397.161000,0,1
7364406.429414,8339275.346937,7335202.329568,10317.161000,0,1
10783785.703297,6587930.077004,4277501.561522,9417.161000,0,1
2325566.891579,8942121.082901,9582048.666024,11337.161000,0,1
12988034.924518,3158235.577833,-357832.544966,8277.161000,0,1
7889290.074876,8167579.015051,6977385.082669,10197.161000,0,1
11133133.508789,6296175.368218,3822626.019174,9297.161000,0,1
2938168.927693,8988795.841476,9389483.747208,11217.161000,0,1
13068027.595587,2760585.756020,-841505.787099,8157.161000,0,1
8390355.064268,7986052.114075,6603592.484969,10077.161000,0,1
11461451.207323,5970199.350990,3350082.378603,9177.161000,0,1
3579079.872900,8945517.342373,9191216.182769,11097.161000,0,1
13100658.057062,2313178.482176,-1367142.598220,8037.161000,0,1
8887513.495326,7749562.160986,6209136.596601,9957.161000,0,1
11762534.100778,5625095.993749,2866053.382706,9057.161000,0,1
4202075.851576,8898137.514679,8965444.001033,10977.161000,0,1
13099708.463378,1866052.155005,-1885736.646556,7917.161000,0,1
9323136.540850,7584266.333669,5815597.815224,9837.161000,0,1
12031826.699564,5283503.955515,2385041.026957,8937.161000,0,1
4807475.565613,8843370.657958,8714758.535931,10857.161000,0,1
13087687.454496,1451240.473471,-2358809.083720,7797.161000,0,1
9780470.265165,7299860.486982,5388457.552820,9717.161000,0,1
726331.463434,8819682.719577,9938650.412180,11637.161000,0,1
12274988.725084,4902516.651896,1880258.919116,8817.161000,0,1
5387963.099071,8792945.263289,8439557.390789,10737.161000,0,1
10201236.890127,7026514.674880,4953195.227392,9597.161000,0,1
1365485.205928,8891019.750818,9811979.512414,11517.161000,0,1
12485400.943066,4566874.305400,1412423.460140,8697.161000,0,1
5969355.229529,8694055.225120,8148303.435325,10617.161000,0,1
10599351.779990,6728805.449695,4502090.793488,9477.161000,0,1
2011645.206939,8921056.017187,9667272.920667,11397.161000,0,1
12666485.561720,4143975.706991,882896.106090,8577.161000,0,1
6539759.841374,8567162.954308,7837670.814067,10497.161000,0,1
10952965.130281,6471902.181351,4063351.094408,9357.161000,0,1
2648174.888163,8938409.829862,9496167.287507,11277.161000,0,1
12822303.524326,3791971.211732,417779.160555,8457.161000,0,1
7086070.560757,8435889.313912,7507194.464546,10377.161000,0,1
11301390.377485,6132662.903609,3586323.678816,9237.161000,0,1
3248230.331916,8991813.602729,9288152.024529,11157.161000,0,1
12933672.976029,3337102.971442,-130925.182274,8337.161000,0,1
7635452.679369,8243031.898555,7158050.903661,10257.161000,0,1
11612841.384924,5812083.798547,3116255.758488,9117.161000,0,1
3883300.187166,8940873.834432,9077784.700729,11037.161000,0,1
13041548.372195,2993459.725642,-567545.039646,8217.161000,0,1
8152294.495906,8058178.543795,6790736.084031,10137.161000,0,1
11903614.943500,5438060.779544,2615127.925590,8997.161000,0,1
4499712.744490,8885900.798117,8840565.490924,10917.161000,0,1
13097383.693144,2558917.554691,-1082283.940985,8097.161000,0,1
8632981.868207,7888998.356149,6411101.110891,10017.161000,0,1
12155179.561799,5114835.826395,2147331.624035,8877.161000,0,1
5095575.023018,8827981.001871,8578495.966263,10797.161000,0,1
13114252.411013,2109183.790173,-1606002.263817,7977.161000,0,1
9100953.892287,7684604.648600,6016167.866350,9897.161000,0,1
