x,y,z,t,firing
-12938719.282573,2142472.630460,2553299.454386,-3.637000,0
-13018157.838685,1937983.321396,2309598.028643,56.334000,0
-13089765.321476,1732328.224966,2064506.230978,116.332000,0
-13153501.388802,1525631.415045,1818172.037803,176.330000,0
-13209330.478089,1318017.507886,1570744.072923,236.329000,0
-13257221.821403,1109611.585572,1322371.516175,296.328000,0
-13297149.457472,900539.119391,1073204.011962,356.310000,0
-13329092.240823,690925.893186,823391.577777,416.309000,0
-13353033.847726,480897.926698,573084.512705,476.307000,0
-13368962.779308,270581.399002,322433.306040,536.306000,0
-13376872.361613,60102.572045,71588.546025,596.303000,0
-13376760.742680,-150412.285650,-179299.171215,656.289000,0
-13368630.886825,-360836.975055,-430079.332463,716.288000,0
-13352490.565790,-571045.442466,-680601.597919,776.287000,0
-13328352.347166,-780911.855006,-930715.891320,836.286000,0
-13296233.579854,-990310.675789,-1180272.489643,896.285000,0
-13256156.376665,-1199116.738676,-1429122.112341,956.272000,0
-13208147.594229,-1407205.322593,-1677116.010034,1016.271000,0
-13152238.809918,-1614452.225354,-1924106.052634,1076.269000,0
-13088466.296160,-1820733.836972,-2169944.816828,1136.268000,0
-13016870.991957,-2025927.212373,-2414485.672883,1196.266000,0
-12937498.471682,-2229910.143520,-2657582.870711,1256.249000,0
-12850398.911354,-2432561.230875,-2899091.625177,1316.248000,0
-12755627.052093,-2633759.954164,-3138868.200547,1376.246000,0
-12653242.161147,-2833386.742426,-3376769.994097,1436.244000,0
-12543307.990301,-3031323.043278,-3612655.618787,1496.243000,0
-12425892.731764,-3227451.391384,-3846384.984970,1556.229000,0
-12301068.971720,-3421655.476101,-4077819.381131,1616.228000,0
-12168913.641267,-3613820.208218,-4306821.553543,1676.225000,0
-12029507.965140,-3803831.785820,-4533255.784870,1736.224000,0
-11882937.408019,-3991577.759199,-4756987.971637,1796.222000,0
-11729291.618542,-4176947.094789,-4977885.700536,1856.209000,0
-11568664.371198,-4359830.238132,-5195818.323570,1916.208000,0
