x,y,z,t,firing,detected_by_GS
6887375.610188,-10602360.284986,4376401.509861,7487.613000,0,1
6976072.197438,-10433276.674001,4630152.526927,7547.613000,0,1
7060629.906737,-10258352.992035,4881501.687938,7607.613000,0,1
7140914.091996,-10077720.936549,5130340.162549,7667.613000,0,1
7216793.201021,-9891516.802177,5376560.543703,7727.613000,0,1
7288138.914715,-9699881.386650,5620056.893227,7787.613000,0,1
7354826.283960,-9502959.892292,5860724.786560,7847.613000,0,1
7416733.864113,-9300901.823305,6098461.356704,7907.613000,0,1
7473743.846842,-9093860.878681,6333165.337217,7967.613000,0,1
7525742.189259,-8881994.841006,6564737.104366,8027.613000,0,1
7572618.740193,-8665465.461129,6793078.718352,8087.613000,0,1
7614267.363408,-8444438.338768,7018093.963579,8147.613000,0,1
7650586.057752,-8219082.799244,7239688.388034,8207.613000,0,1
7681477.073948,-7989571.766255,7457769.341612,8267.613000,0,1
7706847.028022,-7756081.630936,7672246.013504,8327.613000,0,1
7726607.011176,-7518792.117229,7883029.468565,8387.613000,0,1
7740672.695973,-7277886.143654,8090032.682621,8447.613000,0,1
7748964.438794,-7033549.681667,8293170.576784,8507.613000,0,1
7751407.378311,-6785971.610605,8492360.050672,8567.613000,0,1
7747931.529988,-6535343.569417,8687520.014573,8627.613000,0,1
7738471.876405,-6281859.805262,8878571.420487,8687.613000,0,1
7722968.453318,-6025717.019083,9065437.292050,8747.613000,0,1
7701366.431430,-5767114.208377,9248042.753424,8807.613000,0,1
7673616.193597,-5506252.507134,9426315.056922,8867.613000,0,1
7639673.407546,-5243335.023229,9600183.609580,8927.613000,0,1
7599499.093899,-4978566.673328,9769579.998537,8987.613000,0,1
7553059.689433,-4712154.015451,9934438.015201,9047.613000,0,1
7500327.105572,-4444305.079417,10094693.678347,9107.613000,0,1
7441278.781864,-4175229.195172,10250285.255887,9167.613000,0,1
7375897.734527,-3905136.819309,10401153.285524,9227.613000,0,1
7304172.599907,-3634239.359840,10547240.594176,9287.613000,0,1
2763636.447758,12986217.592057,-1488633.342213,9347.613000,0,1
8078149.606706,-4864488.880744,12944283.053007,9347.613000,0,1
2632903.724963,13040809.334228,-1207582.347628,9407.613000,0,1
