x,y,z,t,firing,detected_by_GS
-1989666.197184,-12195749.560548,-5213651.807144,-5.185000,0,0
-1749719.820170,-12140314.220276,-5428264.001587,54.812000,0,0
-1508732.986379,-12077659.862979,-5639646.011530,114.811000,0,0
-1266849.291923,-12007826.126696,-5847673.163949,174.811000,0,0
-1024212.767140,-11930856.856128,-6052222.847325,234.810000,0,0
-780967.792483,-11846800.071452,-6253174.579952,294.810000,0,0
-537259.014450,-11755707.934841,-6450410.076855,354.806000,0,0
-293231.261627,-11657636.714874,-6643813.315333,414.805000,0,0
-49029.460830,-11552646.748596,-6833270.598973,474.805000,0,0
195201.446546,-11440802.401537,-7018670.620262,534.803000,0,0
439316.587976,-11322172.025555,-7199904.521666,594.803000,0,0
683171.242986,-11196827.914575,-7376865.955186,654.800000,0,0
926620.926030,-11064846.258366,-7549451.140431,714.799000,0,0
1169521.469026,-10926307.094159,-7717558.921044,774.799000,0,0
1411729.103514,-10781294.256398,-7881090.819621,834.798000,0,0
1653100.542386,-10629895.324485,-8039951.090991,894.797000,0,0
1893493.061159,-10472201.568605,-8194046.773884,954.795000,0,0
2132764.578754,-10308307.893778,-8343287.741018,1014.794000,0,0
2370773.737738,-10138312.781925,-8487586.747451,1074.793000,0,0
2607379.984000,-9962318.232258,-8626859.477349,1134.793000,0,0
2842443.645822,-9780429.699853,-8761024.589035,1194.792000,0,0
3075826.012305,-9592756.032488,-8890003.758343,1254.789000,0,0
3307389.411141,-9399409.405889,-9013721.720342,1314.788000,0,0
3536997.285654,-9200505.257199,-9132106.309242,1374.788000,0,0
3764514.271125,-8996162.216937,-9245088.496660,1434.787000,0,0
3989806.270333,-8786502.039351,-9352602.428114,1494.786000,0,0
4212740.528296,-8571649.531218,-9454585.457762,1554.783000,0,0
4433185.706202,-8351732.479238,-9550978.181466,1614.783000,0,0
4651011.954444,-8126881.575857,-9641724.467988,1674.782000,0,0
4866090.984789,-7897230.343759,-9726771.488504,1734.781000,0,0
5078296.141621,-7662915.058949,-9806069.744303,1794.781000,0,0
5287502.472223,-7424074.672478,-9879573.092695,1854.778000,0,0
5493586.796118,-7180850.730947,-9947238.771216,1914.777000,0,0
5696427.773363,-6933387.295631,-10009027.419914,1974.776000,0,0
5895905.971845,-6681830.860481,-10064903.101949,2034.776000,0,0
6091903.933504,-6426330.268882,-10114833.322327,2094.775000,0,0
6284306.239467,-6167036.629270,-10158789.044838,2154.772000,0,0
6472999.574117,-5904103.229697,-10196744.707252,2214.771000,0,0
6657872.787963,-5637685.451232,-10228678.234589,2274.771000,0,0
6838816.959406,-5367940.680404,-10254571.050673,2334.770000,0,0
7015725.455289,-5095028.220622,-10274408.087820,2394.769000,0,0
7188493.990241,-4819109.202628,-10288177.794690,2454.766000,0,0
7357020.684839,-4540346.494084,-10295872.142418,2514.765000,0,0
7521206.122432,-4258904.608210,-10297486.628777,2574.764000,0,0
7680953.404755,-3974949.611643,-10293020.280635,2634.764000,0,0
7836168.206208,-3688649.031460,-10282475.654533,2694.763000,0,0
7986758.826805,-3400171.761447,-10265858.835425,2754.760000,0,0
8132636.243828,-3109687.967674,-10243179.433684,2814.759000,0,0
8273714.162033,-2817368.993338,-10214450.580153,2874.759000,0,0
8409909.062525,-2523387.263007,-10179688.919477,2934.758000,0,0
8541140.250192,-2227916.186234,-10138914.601563,2994.757000,0,0
8667329.899687,-1931130.060613,-10092151.271205,3054.754000,0,0
8788403.100029,-1633203.974336,-10039426.055982,3114.753000,0,0
8904287.897612,-1334313.708226,-9980769.552202,3174.752000,0,0
9014915.337805,-1034635.637366,-9916215.809143,3234.751000,0,0
9120219.504990,-734346.632307,-9845802.311426,3294.750000,0,0
9220137.561041,-433623.959926,-9769569.959575,3354.747000,0,0
9314609.782323,-132645.183971,-9687563.048851,3414.746000,0,0
9403579.594989,168411.934677,-9599829.246163,3474.746000,0,0
9486993.608774,469369.537963,-9506419.565288,3534.745000,0,0
9564801.649109,770049.770812,-9407388.340244,3594.744000,0,0
9636956.787593,1070274.881416,-9302793.196876,3654.741000,0,0
9703415.370872,1369867.321636,-9192695.022743,3714.740000,0,0
9764137.047728,1668649.847440,-9077157.935112,3774.740000,0,0
9819084.794557,1966445.619367,-8956249.247283,3834.739000,0,0
9868224.939079,2263078.302943,-8830039.433121,3894.738000,0,0
9911527.182308,2558372.169013,-8698602.089819,3954.735000,0,0
9948964.618844,2852152.193964,-8562013.899015,4014.734000,0,0
9980513.755267,3144244.159739,-8420354.586052,4074.733000,0,0
10006154.526851,3434474.753653,-8273706.877632,4134.732000,0,0
10025870.312408,3722671.667924,-8122156.457701,4194.732000,0,0
10039647.947310,4008663.698872,-7965791.921654,4254.729000,0,0
10047477.734757,4292280.845787,-7804704.728916,4314.728000,0,0
10049353.455056,4573354.409317,-7638989.153763,4374.728000,0,0
10045272.373145,4851717.089433,-7468742.234573,4434.727000,0,0
10035235.244176,5127203.082849,-7294063.721408,4494.726000,0,0
10019246.317196,5399648.179853,-7115056.021966,4554.723000,0,0
9997313.337005,5668889.860573,-6931824.146001,4614.722000,0,0
9969447.543964,5934767.390477,-6744475.648068,4674.721000,0,0
9935663.671973,6197121.915216,-6553120.568784,4734.721000,0,0
9895979.944458,6455796.554639,-6357871.374513,4794.720000,0,0
