x,y,z,t
-3545966.303433,3528626.315483,5002492.414968,-7.446000
-3856927.147861,3202973.527106,4992077.102962,52.532000
-4152295.869230,2864371.501584,4961427.167086,112.530000
-4430880.621780,2514190.836447,4910669.677554,172.511000
-4691557.540442,2153848.432947,4840012.923754,232.510000
-4933275.220826,1784801.783027,4749745.537304,292.491000
-5155058.902761,1408543.105657,4640235.298626,352.472000
-5356014.346840,1026593.357318,4511927.636309,412.470000
-5535331.395987,640496.137868,4365343.827640,472.457000
-5692287.213993,251811.510226,4201078.906712,532.455000
-5826249.191006,-137890.248786,4019799.284668,592.443000
-5936677.503219,-527034.947883,3822240.085980,652.420000
-6023127.312078,-914050.809699,3609202.205695,712.418000
-6085250.588101,-1297374.803323,3381549.095182,772.409000
-6122797.546405,-1675458.953524,3140203.287322,832.406000
-6135617.684430,-2046776.598069,2886142.675282,892.396000
-6123660.416369,-2409828.565195,2620396.561176,952.384000
-6086975.301970,-2763149.245064,2344041.491674,1012.383000
-6025711.869235,-3105312.531071,2058196.897335,1072.373000
-5940119.030886,-3434937.608008,1764020.551815,1132.372000
-5830544.094111,-3750694.564012,1462703.866995,1192.364000
-5697431.363074,-4051309.801899,1155467.041172,1252.355000
-5541320.334872,-4335571.223875,843554.079721,1312.353000
-5362843.492650,-4602333.162658,528227.710586,1372.342000
-5162723.703922,-4850521.032584,210764.219736,1432.341000
-4941771.237146,-5079135.676762,-107551.766638,1492.332000
-4700880.413936,-5287257.390169,-425432.526321,1552.323000
-4441025.917116,-5474049.603042,-741592.486280,1612.322000
-4163258.775704,-5638762.212842,-1054753.446051,1672.315000
-3868702.047283,-5780734.555564,-1363649.758855,1732.313000
-3558546.216846,-5899398.007326,-1667033.451203,1792.300000
-3234044.329675,-5994278.209583,-1963679.264360,1852.292000
-2896506.880125,-6064996.906228,-2252389.594138,1912.290000
-2547296.467758,-6111273.384557,-2531999.315057,1972.284000
-2187822.254942,-6132925.514711,-2801380.460439,2032.282000
-1819534.242494,-6129870.379294,-3059446.740042,2092.276000
-1443917.394987,-6102124.496080,-3305157.874056,2152.270000
-1062485.643182,-6049803.635629,-3537523.724590,2212.269000
-676775.792546,-5973122.241151,-3755608.208841,2272.263000
-288341.362750,-5872392.459613,-3958532.982584,2332.262000
101253.616640,-5748022.793405,-4145480.882913,2392.256000
490440.831885,-5600516.381867,-4315699.121445,2452.242000
877653.910201,-5430468.921627,-4468502.219314,2512.241000
1261334.622248,-5238566.234807,-4603274.675309,2572.222000
1639939.039494,-5025581.495238,-4719473.358783,2632.217000
2011943.623752,-4792372.124495,-4816629.619777,2692.216000
2375851.226625,-4539876.371510,-4894351.110190,2752.211000
2730196.977706,-4269109.590961,-4952323.311615,2812.210000
3073554.042417,-3981160.236371,-4990310.767103,2872.202000
3404539.232056,-3677185.583548,-5008158.015252,2932.194000
3721818.450005,-3358407.199131,-5005790.225390,2992.193000
4024111.958451,-3026106.168163,-4983213.532453,3052.187000
4310199.449630,-2681618.094217,-4940515.069718,3112.186000
4578924.904687,-2326327.886104,-4877862.697397,3172.179000
4829201.222470,-1961664.346418,-4795504.425457,3232.174000
5060014.600342,-1589094.578769,-4693767.530024,3292.173000
5270428.649587,-1210118.232034,-4573057.364171,3352.166000
5459588.228994,-826261.600796,-4433855.865230,3412.165000
5626722.981461,-439071.601393,-4276719.761811,3472.157000
5771150.559091,-50109.642889,-4102278.484199,3532.143000
5892279.522371,339054.587789,-3911231.781782,3592.141000
