x,y,z,t,firing,detected_by_GS
2914305.61,-6172946.49,-7143.62,0.000000,0,0
2946893.66,-6157348.09,-7235.43,0.000000,0,0
2791094.59,-6229533.56,-6836.74,0.000000,0,0
2811721.72,-6220361.90,-6892.21,0.000000,0,0
2757888.55,-6243810.42,-6747.51,0.000000,0,0
2811654.75,-6220694.99,-6886.27,0.000000,0,0
2808557.42,-6221917.99,-6881.13,0.000000,0,0
2808459.29,-6222189.20,-6878.84,0.000000,0,0
2937559.57,-6161903.92,-7208.00,0.000000,0,0
2804949.73,-6223041.53,-6868.93,0.000000,0,0
2901266.30,-6178890.42,-7121.87,0.000000,0,0
2801774.06,-6224870.42,-6862.14,0.000000,0,0
2798831.22,-6226329.34,-6862.49,0.000000,0,0
2894834.32,-6182039.05,-7105.61,0.000000,0,0
2795446.63,-6228024.49,-6844.84,0.000000,0,0
2798582.83,-6226549.36,-6855.29,0.000000,0,0
2792189.59,-6228754.57,-6844.71,0.000000,0,0
2791881.72,-6228769.21,-6845.28,0.000000,0,0
-3062993.75,-2978700.51,-5329979.03,0.000000,0,0
-2946503.19,-3163258.42,-5289344.86,0.000000,0,0
-1229253.70,-5165695.63,-4296313.67,0.000000,0,0
-1082071.62,-5288819.84,-4184538.91,0.000000,0,0
847188.08,-6333431.24,-2409116.20,0.000000,0,0
992055.82,-6369612.05,-2252735.24,0.000000,0,0
2752115.07,-6246710.49,-46234.76,0.000000,0,0
2875895.72,-6189288.13,135497.77,0.000000,0,0
4180532.20,-4785623.77,2483878.21,0.000000,0,0
4111670.40,-4923227.85,2325478.59,0.000000,0,0
-21963399.28,15746765.77,54919.44,0.000000,0,0
40291526.27,12429075.63,33911.14,0.000000,0,0
-3463250.18,13414589.67,8290.45,0.000000,0,0
6404852.33,-3008224.90,-16059.53,0.000000,0,0
-5475211.77,4281247.11,13682.32,0.000000,0,0
-4230981.29,5078496.90,10517.40,0.000000,0,0
-4067214.50,5204958.83,10091.93,0.000000,0,0
817613.19,6228481.11,2653765.72,0.000000,0,0
3840072.77,5603196.24,-9883.32,0.000000,0,0
3882960.41,5527428.30,-9987.89,0.000000,0,0
-2243086.37,4801989.12,4270165.73,0.000000,0,0
3842128.75,5601780.31,-9883.65,0.000000,0,0
3841162.56,5602466.07,-9893.14,0.000000,0,0
3841761.09,5602206.28,-9883.89,0.000000,0,0
3842585.96,5601509.80,-9892.64,0.000000,0,0
3840921.44,5602746.83,-9890.72,0.000000,0,0
3880221.60,5575536.90,-9986.90,0.000000,0,0
3840514.46,5602948.83,-9890.28,0.000000,0,0
3845771.68,5608877.26,-9903.16,0.000000,0,0
3844189.67,5600355.98,-9892.25,0.000000,0,0
3842857.97,5601309.65,-9887.46,0.000000,0,0
3844068.38,5600587.21,-9897.79,0.000000,0,0
3879736.47,5575759.63,-9982.15,0.000000,0,0
-1594975.04,5271795.88,4017236.23,0.000000,0,0
3881180.77,5574802.22,-9987.13,0.000000,0,0
-3637665.16,3433142.83,4623982.75,0.000000,0,0
-394015.66,5888617.13,3413366.44,0.000000,0,0
3846360.49,5598705.91,-9894.72,0.000000,0,0
3881472.86,5574590.21,-9992.70,0.000000,0,0
3843588.62,5600887.18,-9900.11,0.000000,0,0
3883873.89,5575016.98,-9994.32,0.000000,0,0
-4769285.93,1661184.73,4558603.58,0.000000,0,0
3883937.36,5572668.74,-10001.23,0.000000,0,0
3883668.50,5573166.08,-9994.02,0.000000,0,0
3883718.88,5572890.38,-9991.73,0.000000,0,0
3847627.99,5597953.44,-9898.56,0.000000,0,0
6114994.97,-2800488.07,-15341.54,0.000000,0,0
6114941.66,-2800797.07,-15338.65,0.000000,0,0
6114862.06,-2801090.51,-15347.04,0.000000,0,0
6114553.84,-2801286.23,-15347.72,0.000000,0,0
6114512.37,-2801591.99,-15349.97,0.000000,0,0
6114495.96,-2801915.85,-15344.66,0.000000,0,0
907792.50,4009457.69,5348460.53,0.000000,0,0
6114195.97,-2802394.84,-15339.83,0.000000,0,0
6114345.85,-2802766.39,-15347.28,0.000000,0,0
6113935.04,-2802877.45,-15333.46,0.000000,0,0
6114004.65,-2803239.01,-15341.86,0.000000,0,0
6113465.29,-2803264.57,-15342.53,0.000000,0,0
6113394.03,-2803917.99,-15344.34,0.000000,0,0
6113618.50,-2803659.30,-15344.87,0.000000,0,0
6113277.21,-2804393.21,-15343.18,0.000000,0,0
6113563.33,-2804276.87,-15341.24,0.000000,0,0
6113067.78,-2804675.53,-15331.69,0.000000,0,0
6113009.01,-2805146.11,-15339.71,0.000000,0,0
6113133.77,-2804978.70,-15333.86,0.000000,0,0
6112921.34,-2805507.96,-15341.50,0.000000,0,0
6112452.45,-2806015.84,-15340.05,0.000000,0,0
6112580.38,-2805771.65,-15333.31,0.000000,0,0
6112486.47,-2806283.24,-15332.20,0.000000,0,0
6112215.11,-2806808.40,-15336.22,0.000000,0,0
6112379.78,-2806430.51,-15334.95,0.000000,0,0
6111911.17,-2806968.06,-15338.03,0.000000,0,0
6112098.83,-2807384.07,-15331.18,0.000000,0,0
6111830.52,-2807510.78,-15335.96,0.000000,0,0
-3940824.24,-5553577.93,10139.75,0.000000,0,0
-3884747.14,-5588350.35,10001.21,0.000000,0,0
-3946579.94,-5544176.28,10149.74,0.000000,0,0
-3942428.98,-5549513.75,10141.89,0.000000,0,0
5682164.39,-1051817.89,3580086.65,0.000000,0,0
5625327.78,-879725.12,3713379.46,0.000000,0,0
5504181.62,-572525.74,3935166.24,0.000000,0,0
5347308.46,-213983.73,4180994.07,0.000000,0,0
5260304.09,-36754.18,4294559.31,0.000000,0,0
5429615.29,-396197.48,4058134.53,0.000000,0,0
5167101.32,141593.99,4404252.84,0.000000,0,0
5068830.18,318280.33,4507925.00,0.000000,0,0
4964885.37,494362.55,4606362.81,0.000000,0,0
4855234.05,669848.74,4699526.32,0.000000,0,0
2101308.26,3525124.48,5408014.56,0.000000,0,0
-5671845.24,3679504.59,-877375.50,0.000000,0,0
4619905.70,1019352.35,4870702.83,0.000000,0,0
4741110.90,843534.65,4786929.69,0.000000,0,0
4494209.54,1192326.88,4947864.90,0.000000,0,0
4364049.11,1363575.72,5019386.13,0.000000,0,0
4228945.46,1533467.45,5085498.44,0.000000,0,0
4090087.46,1700741.28,5145621.49,0.000000,0,0
3943825.43,1868988.66,5200713.84,0.000000,0,0
3794862.50,2033336.59,5249443.47,0.000000,0,0
3485856.30,2353859.59,5329109.75,0.000000,0,0
3322958.30,2512685.72,5360432.82,0.000000,0,0
3641612.23,2195579.52,5292405.65,0.000000,0,0
3158360.23,2666698.59,5385315.89,0.000000,0,0
