x,y,z,t,firing,detected_by_GS
-6281793.75,-2604690.60,15947.59,0.000000,0,0
287.58,6766303.02,-227.50,0.000000,0,0
-6281793.75,-2604690.60,15947.59,0.000000,0,0
-4731176.52,-7139129.20,12183.68,0.000000,0,0
287.58,6766303.02,-227.50,0.000000,0,0
287.58,6766303.02,-227.50,0.000000,0,0
-6281793.75,-2604690.60,15947.59,0.000000,0,0
287.58,6766303.02,-227.50,0.000000,0,0
-6281793.75,-2604690.60,15947.59,0.000000,0,0
287.58,6766303.02,-227.50,0.000000,0,0
-6281793.75,-2604690.60,15947.59,0.000000,0,0
-6281793.75,-2604690.60,15947.59,0.000000,0,0
-6281793.75,-2604690.60,15947.59,0.000000,0,0
-6281793.75,-2604690.60,15947.59,0.000000,0,0
-6339085.15,-2317933.07,16080.65,0.000000,0,0
-6411165.31,-1752630.31,16254.36,0.000000,0,0
-6301010.24,-2454637.04,15989.92,0.000000,0,0
-6320930.32,-2387706.64,16044.34,0.000000,0,0
-6404397.53,-2114150.82,16244.54,0.000000,0,0
-6052781.23,-3045538.51,15385.05,0.000000,0,0
-6306211.45,-2462325.45,16013.11,0.000000,0,0
-6214319.11,-2701382.13,15778.67,0.000000,0,0
-6257532.37,-2633343.58,15886.18,0.000000,0,0
-6281793.75,-2604690.60,15947.59,0.000000,0,0
20966.17,6764387.14,-274.81,0.000000,0,0
287.58,6766303.02,-227.50,0.000000,0,0
-2786532.24,6095047.27,6828.48,0.000000,0,0
-6281793.75,-2604690.60,15947.59,0.000000,0,0
-5805632.84,-3001000.68,14760.53,0.000000,0,0
